"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"9569","C16orf92",6381,-0.233239,0.815575823209009,0.904631302319538,"FALSE"
"9570","NT5C2",14898,-0.233687,0.815227980850038,0.904372899209741,"FALSE"
"9571","ZNF286A",7859,-0.234439,0.814644184500745,0.903916327340678,"FALSE"
"9572","DNAJC7",672,-0.234667,0.814467202733145,0.903783642753779,"FALSE"
"9573","NTM-AS1",5304,-0.234928,0.814264616807849,0.90374992186942,"FALSE"
"9574","PRORY",7181,-0.235016,0.814196314774217,0.903737819959115,"FALSE"
"9575","GRK5",14499,-0.23502,0.814193210169884,0.903737819959115,"FALSE"
"9576","OPN3",6263,-0.235564,0.813771011189699,0.903584243383767,"FALSE"
"9577","SMURF1",7661,-0.23558,0.813758594391045,0.903584243383767,"FALSE"
"9578","MAP3K21",6339,-0.235597,0.813745401593756,0.903584243383767,"FALSE"
"9579","INTS6-AS1",15583,-0.235667,0.81369107886757,0.903584243383767,"FALSE"
"9580","PFN1",2327,-0.235765,0.813615028556479,0.903584243383767,"FALSE"
"9581","AHCTF1",7715,-0.236087,0.813365161338149,0.903452166862022,"FALSE"
"9582","ACER2",3576,-0.236381,0.813137038291899,0.903405531989512,"FALSE"
"9583","DHFR2",3270,-0.237169,0.812525684693551,0.902901891841341,"FALSE"
"9584","HOXD1",10581,-0.237476,0.812287535960628,0.902764682268659,"FALSE"
"9585","ZNF749",6943,-0.237629,0.812168855939589,0.902736159538765,"FALSE"
"9586","FUT11",15058,-0.237681,0.81212852122847,0.902736159538765,"FALSE"
"9587","ZNF763",14519,-0.237686,0.812124642917132,0.902736159538765,"FALSE"
"9588","DGLUCY",12597,-0.23769,0.81212154027138,0.902736159538765,"FALSE"
"9589","POP5",5408,-0.238371,0.811593357872851,0.902439083312715,"FALSE"
"9590","MED20",7367,-0.238623,0.811397928837526,0.902285499650176,"FALSE"
"9591","CLK1",2445,-0.238692,0.811344420555261,0.902285499650176,"FALSE"
"9592","LRRN3",9062,-0.239407,0.810790002597751,0.901927217718114,"FALSE"
"9593","ZNF419",13141,-0.239977,0.810348087017914,0.901606043896832,"FALSE"
"9594","NAIP",1830,-0.240027,0.810309325375011,0.901606043896832,"FALSE"
"9595","IFI27L1",9081,-0.24004,0.810299247424051,0.901606043896832,"FALSE"
"9596","DMAC2",1662,-0.240116,0.810240330801674,0.901606043896832,"FALSE"
"9597","ELL",3377,-0.240171,0.810197694442876,0.901606043896832,"FALSE"
"9598","BTNL9",8833,-0.240616,0.809852748263061,0.901490497017309,"FALSE"
"9599","GAB4",7065,-0.241045,0.80952023960661,0.901215878710746,"FALSE"
"9600","DCK",15561,-0.24117,0.809423361266003,0.901171745377826,"FALSE"
"9601","ZNF324",10363,-0.241243,0.809366785665798,0.901171745377826,"FALSE"
"9602","VGLL3",1550,-0.241983,0.808793335870879,0.900724357937918,"FALSE"
"9603","OTULIN",11637,-0.242275,0.808567083916664,0.900724357937918,"FALSE"
"9604","LOC100129434",8434,-0.242911,0.808074343984933,0.900433867377408,"FALSE"
"9605","CWC25",9633,-0.243052,0.807965114773415,0.900381054177843,"FALSE"
"9606","ZBTB4",13443,-0.243283,0.807786172879301,0.900303906843958,"FALSE"
"9607","RB1CC1",2799,-0.243631,0.807516617066376,0.900216549132817,"FALSE"
"9608","GRK3",3717,-0.243861,0.807338474903753,0.900216549132817,"FALSE"
"9609","PABPC5",14590,-0.244111,0.807144853450944,0.900216549132817,"FALSE"
"9610","ZNF441",5741,-0.244142,0.807120845213992,0.900216549132817,"FALSE"
"9611","ZCRB1",8366,-0.24442,0.806905553664315,0.900216549132817,"FALSE"
"9612","POLD2",5879,-0.244632,0.806741384327294,0.900216549132817,"FALSE"
"9613","RARRES1",5243,-0.245213,0.806291511077716,0.899784523489875,"FALSE"
"9614","CSAG4",4541,-0.245915,0.805748032009413,0.899375307223287,"FALSE"
"9615","NSL1",10556,-0.246293,0.805455428275993,0.899233901879423,"FALSE"
"9616","MRPS7",6215,-0.246436,0.805344741370622,0.899233901879423,"FALSE"
