"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000141504",489916.995641257,-0.327249829030976,0.109945622407116,-2.97646983905561,0.00291587762145747,0.567014016542221,"DOWN","SAT2",112483,-1.2546194460129
"ENSG00000178031",16049.2764718754,-1.35878343994653,0.457274691054152,-2.97148183909794,0.00296366401438341,0.567014016542221,"DOWN","ADAMTSL1",92949,-2.56468819643736
"ENSG00000119636",111691.641825874,0.431107022756038,0.145194580944976,2.96916744378645,0.00298607833086548,0.567014016542221,"UP","BBOF1",80127,1.34826774592855
"ENSG00000084090",1027101.62747578,-0.330747464444808,0.111436735371302,-2.96802901971932,0.00299716032372588,0.567014016542221,"DOWN","STARD7",56910,-1.25766480550148
"ENSG00000051341",5434.6095097546,0.703892165031207,0.23715949662163,2.96801171809794,0.00299732903548472,0.567014016542221,"UP","POLQ",10721,1.6288933691333
"ENSG00000273212",19701.7741961421,-0.292985273484339,0.0988438240073894,-2.96412321585652,0.00303546717372641,0.567014016542221,"DOWN","AC000068.2",NA,-1.22517282571426
"ENSG00000142494",57071.0798966554,-1.37625052242025,0.466391662572341,-2.95084718030692,0.00316903668677,0.567014016542221,"DOWN","SLC47A1",55244,-2.59592827485535
"ENSG00000225473",3256.69240009397,1.19166546004762,0.405132503181576,2.94142151194797,0.00326709626217977,0.567014016542221,"UP","ATP13A4-AS1",NA,2.28416276822789
"ENSG00000275494",7709.40978844885,-0.496561682978391,0.168904303911207,-2.93989952582518,0.00328318691707921,0.567014016542221,"DOWN","AC133552.5",NA,-1.41084713723902
"ENSG00000283485",166001.837864069,0.747521081902559,0.254333104059663,2.93914189686924,0.00329122356109954,0.567014016542221,"UP","None",NA,1.67890556265765
"ENSG00000229809",101237.07774464,-0.402831574598643,0.137161038988209,-2.93692419924927,0.00331485117111629,0.567014016542221,"DOWN","ZNF688",146542,-1.32210024940052
"ENSG00000254721",42491.144709715,-0.271722323873311,0.0925896265215062,-2.93469510658623,0.00333875577256803,0.567014016542221,"DOWN","AP000879.1",NA,-1.20724820954873
"ENSG00000115648",9366.14287236275,-1.59177769759353,0.542457571432087,-2.93438193404,0.00334212675700469,0.567014016542221,"DOWN","MLPH",79083,-3.01420532959776
"ENSG00000103534",3250.45747445796,-0.733746828440428,0.25010108406977,-2.93380107155288,0.00334838735887984,0.567014016542221,"DOWN","TMC5",79838,-1.66295234769628
"ENSG00000185633",150319.244764253,-0.865352850769965,0.295132284574399,-2.93208468201933,0.00336694925486404,0.567014016542221,"DOWN","NDUFA4L2",56901,-1.82178518039524
"ENSG00000143851",4133.70497007081,1.40511680289916,0.479517247401486,2.93027375034688,0.00338663511491331,0.567014016542221,"UP","PTPN7",5778,2.64839223018422
"ENSG00000163535",14228.3618984005,0.445068568691805,0.151887625564979,2.93024903797315,0.00338690447580527,0.567014016542221,"UP","SGO2",151246,1.36137881884038
"ENSG00000182752",3966.79019370683,-1.2327400268932,0.420771443561024,-2.92971409005425,0.0033927401053403,0.567014016542221,"DOWN","PAPPA",5069,-2.35012912629106
"ENSG00000165689",156219.274513971,-0.322663076563953,0.110160123280154,-2.92903699593157,0.00340013950262252,0.567014016542221,"DOWN","ENTR1",10807,-1.25063697533603
"ENSG00000278419",141241.005191371,-0.609761064405748,0.208249436624879,-2.92803224003009,0.00341114672204422,0.567014016542221,"DOWN","AL451164.2",NA,-1.52600645460576
"ENSG00000272755",15172.57179593,-1.06242527785225,0.362851564737148,-2.92798869042188,0.00341162454581857,0.567014016542221,"DOWN","AC245297.2",NA,-2.08843939458051
"ENSG00000167965",403883.452117707,-0.322301606461911,0.110143138270004,-2.9262068570429,0.00343122704488331,0.567014016542221,"DOWN","MLST8",64223,-1.25032366501489
"ENSG00000167779",88546.3698055724,-0.855951097235496,0.292618943123867,-2.92513904977495,0.00344302339809518,0.567014016542221,"DOWN","IGFBP6",3489,-1.80995157313536
"ENSG00000225217",56659.1640406591,1.57407055953619,0.538498595055033,2.92307273220523,0.00346595545301512,0.567014016542221,"UP","HSPA7",NA,2.97743612764572
"ENSG00000278743",1889.25820583722,-1.03679561221822,0.354887772008994,-2.92147460124928,0.00348378679743154,0.567014016542221,"DOWN","AC087239.1",NA,-2.05166560894593
"ENSG00000231738",17286.6205899953,-0.963525482747239,0.330089473349257,-2.91898276237292,0.00351175642073778,0.567014016542221,"DOWN","TSPAN19",144448,-1.95006941965273
"ENSG00000109667",6132.71160903559,0.810771105381798,0.277830680491724,2.91822020500702,0.00352035648141601,0.567014016542221,"UP","SLC2A9",56606,1.75414876624931
"ENSG00000130734",168700.471191074,-0.345693038682286,0.118500848780138,-2.91721993758602,0.00353166647154742,0.567014016542221,"DOWN","ATG4D",84971,-1.27076128145972
"ENSG00000228300",103529.173670858,-0.456223393625458,0.156394783926216,-2.91712665967616,0.00353272284517652,0.567014016542221,"DOWN","FAM174C",55009,-1.37194571061332
"ENSG00000247095",19307.0751598475,-0.891259580380156,0.305587067743847,-2.9165487497895,0.00353927409343335,0.567014016542221,"DOWN","MIR210HG",100506211,-1.85479479126962
"ENSG00000235770",2501.59819535628,-1.00647217229349,0.34582536258361,-2.91034805768521,0.00361026459145878,0.567014016542221,"DOWN","LINC00607",646324,-2.00899249178733
"ENSG00000142507",341064.365849252,-0.299814710195995,0.103088444615098,-2.90832509225856,0.00363370379566243,0.567014016542221,"DOWN","PSMB6",5694,-1.23098630379839
"ENSG00000206596",2207.23333968351,-2.13549397248168,0.734687479378896,-2.90666988674834,0.00365298477585859,0.567014016542221,"DOWN","RNU1-27P",NA,-4.39387544138296
"ENSG00000273138",26894.9086370387,0.689473519251541,0.237299873134694,2.90549468123899,0.00366673080878434,0.567014016542221,"UP","AC005021.1",NA,1.61269489248336
"ENSG00000171345",9746.88863702551,-1.87188991639222,0.644265569894771,-2.90546321868164,0.00366709946264085,0.567014016542221,"DOWN","KRT19",3880,-3.66011737973866
"ENSG00000172922",468730.69708158,-0.313049337542145,0.107917212073377,-2.9008286215668,0.00372177365148845,0.567014016542221,"DOWN","RNASEH2C",84153,-1.24233076650696
"ENSG00000170421",4218.8164376171,-1.87560737337017,0.646731653644746,-2.90013232350686,0.00373005158306024,0.567014016542221,"DOWN","KRT8",3856,-3.66956072957529
"ENSG00000275215",63014.7797937087,-1.9169387410768,0.661796432075384,-2.8965685642416,0.00377268192090807,0.567014016542221,"DOWN","RNA5-8SN3",109910381,-3.77620932987347
"ENSG00000147257",4255.64785121184,-1.35259818593039,0.467413235372685,-2.89379521923874,0.00380616303002794,0.567014016542221,"DOWN","GPC3",2719,-2.55371616778263
"ENSG00000255539",3764.45799046285,1.05546206481805,0.365154493941143,2.89045344458549,0.00384686505222434,0.567014016542221,"UP","AP002336.3",NA,2.07838376252687
"ENSG00000277020",6264.94609201348,-0.822659924683549,0.284877450041982,-2.88776779124608,0.00387986183551905,0.567014016542221,"DOWN","AL590096.1",NA,-1.76866390809113
"ENSG00000154310",378520.301988002,0.376519233591563,0.130571049661939,2.88363488358566,0.0039311425235704,0.567014016542221,"UP","TNIK",23043,1.2982059140588
"ENSG00000178307",89989.9987252917,-0.2844306146377,0.0986583375503216,-2.88298608815117,0.00393924837794233,0.567014016542221,"DOWN","TMEM11",8834,-1.21792949118458
"ENSG00000146576",151651.013059111,-0.303838088700502,0.105413681189307,-2.88234017892663,0.00394733324765593,0.567014016542221,"DOWN","C7orf26",79034,-1.23442406173042
"ENSG00000274602",298985.283003515,-0.632880172650337,0.219661378959251,-2.88116270438119,0.0039621105236022,0.567014016542221,"DOWN","PI4KAP1",728233,-1.55065761284132
"ENSG00000090432",151658.257035265,-0.256839238400988,0.0891668425383725,-2.88043437548502,0.00397127616096008,0.567014016542221,"DOWN","MUL1",79594,-1.19485805267397
"ENSG00000170276",56366.440738945,-0.48272980892171,0.16761312854593,-2.8800238567794,0.00397645080376536,0.567014016542221,"DOWN","HSPB2",3316,-1.39738524198297
"ENSG00000250461",11240.2338309013,-0.632527654472511,0.219655454988627,-2.87963553878168,0.00398135123757986,0.567014016542221,"DOWN","AC122718.1",NA,-1.55027876062255
"ENSG00000204237",99083.0280038774,-0.304522053032957,0.105805804262619,-2.87812237858998,0.00400049913469363,0.567014016542221,"DOWN","OXLD1",339229,-1.23500942604772
"ENSG00000142694",40278.4520721765,-0.476598636275526,0.165634418957788,-2.87741303573498,0.00400950408353015,0.567014016542221,"DOWN","EVA1B",55194,-1.39145922826875
"ENSG00000276302",10277.5784719923,0.546110862009247,0.189836613173294,2.87674149301602,0.00401804612154425,0.567014016542221,"UP","AL021997.3",NA,1.4601442092113
"ENSG00000228140",3710.66246940905,0.967635191088336,0.336522736909258,2.8753932051529,0.00403524627519397,0.567014016542221,"UP","AL031283.1",NA,1.95563237090621
"ENSG00000278233",61515.9411151172,-1.89448831351746,0.659553239083737,-2.8723811835862,0.00407391241735692,0.567014016542221,"DOWN","RNA5-8SN2",109864281,-3.71790089364047
"ENSG00000278771",4859.65611874142,-1.41259564826238,0.491876166783768,-2.87185219299997,0.00408073782612873,0.567014016542221,"DOWN","RN7SL3",378707,-2.66215698514163
"ENSG00000213809",9970.92187687063,-0.702856836826072,0.244838271429316,-2.87069841133471,0.00409566074707821,0.567014016542221,"DOWN","KLRK1",22914,-1.62772483786273
"ENSG00000075914",154942.584831134,-0.455871088818895,0.158932405926678,-2.86833315182561,0.00412640776302577,0.567602072121623,"DOWN","EXOSC7",23016,-1.37161072363178
"ENSG00000272084",153968.344137939,-0.392974571157903,0.137071449453754,-2.86693233874708,0.00414471613745807,0.567602072121623,"DOWN","AL137127.1",NA,-1.31309798064682
"ENSG00000151023",42640.3334297996,0.705670739610702,0.24644666732529,2.86338114152411,0.0041914603725315,0.570917465258524,"UP","ENKUR",219670,1.63090272993982
"ENSG00000277739",58662.7855379092,-1.92526329621433,0.673326824570997,-2.85932956471917,0.00424537478062401,0.572138140729,"DOWN","5_8S_rRNA",NA,-3.79806157829514
"ENSG00000233030",5446.79700977877,0.669247725393564,0.234058872124585,2.85931363899479,0.00424558793988758,0.572138140729,"UP","AC243772.2",NA,1.59024353942519
"ENSG00000279140",6454.2890939635,-0.733841058058423,0.256856386173721,-2.85700919875942,0.00427653444162973,0.573259259675605,"DOWN","AL590326.1",NA,-1.66306096696615
"ENSG00000149418",15524.7026641927,0.852051879991534,0.298545021868527,2.85401469653967,0.00431705341617368,0.575412507212813,"UP","ST14",6768,1.80506636479236
"ENSG00000182199",170048.069221077,-0.424412318760291,0.148836094305524,-2.85154162866621,0.00435077889354768,0.575412507212813,"DOWN","SHMT2",6472,-1.34202571778972
"ENSG00000057294",30359.7645664848,-1.25128901571054,0.438923271065165,-2.85081493326601,0.00436073421688811,0.575412507212813,"DOWN","PKP2",5318,-2.38054023948595
"ENSG00000278189",60174.0649587608,-1.9215642865806,0.675235875777067,-2.84576746513839,0.00443045349425163,0.577604113911563,"DOWN","RNA5-8SN1",106632260,-3.78833598089295
"ENSG00000160993",108285.769579642,-0.28016059682278,0.0984526612157973,-2.84563762282361,0.00443226022305446,0.577604113911563,"DOWN","ALKBH4",54784,-1.21433005273537
"ENSG00000225871",4642.04038693287,0.837540597617084,0.294564944347785,2.84331388947702,0.0044647075949817,0.577604113911563,"UP","AC245100.2",NA,1.78700119311862
"ENSG00000229539",1922.68634324083,-0.769537702204447,0.270674187196442,-2.8430405949495,0.00446853784593118,0.577604113911563,"DOWN","PANK2-AS1",NA,-1.70472343372219
"ENSG00000162227",123014.466031844,-0.303622813497061,0.107016509865881,-2.83715862045565,0.00455169928150513,0.585367011659556,"DOWN","TAF6L",10629,-1.2342398779231
"ENSG00000235034",14294.9501727948,-0.536157969105958,0.189283832350236,-2.83256082914621,0.00461767793993202,0.59025435454941,"DOWN","C19orf81",342918,-1.45010560471814
"ENSG00000176022",138913.139059222,-0.379700179624554,0.134446297948736,-2.82417727685839,0.00474021584363117,0.59025435454941,"DOWN","B3GALT6",126792,-1.3010714391356
"ENSG00000255819",11624.1534042721,-0.671586695864188,0.238111544729837,-2.82047095459472,0.00479532144049187,0.59025435454941,"DOWN","KLRC4-KLRK1",NA,-1.59282381408619
"ENSG00000096696",58700.1096046874,-1.57353043729813,0.55841512634922,-2.81785066888407,0.00483462894418786,0.59025435454941,"DOWN","DSP",1832,-2.97632163122171
"ENSG00000259001",24829.6916182924,-1.42555818370235,0.505904384924471,-2.8178411300293,0.00483477256974325,0.59025435454941,"DOWN","AL355075.4",NA,-2.68618409845384
"ENSG00000273768",2136.35960332356,-1.90725479895655,0.677208407596057,-2.81634837601455,0.00485729644552636,0.59025435454941,"DOWN","RNVU1-29",115409989,-3.75094679396679
