"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez"
"ENSG00000228021",15308.7268472468,0.536220031594067,0.111802268616776,4.79614625202343,1.61747206083269e-06,0.022845063202259,"UP","LOC283038","283038"
"ENSG00000173110",289631.197889997,-2.58640845881075,0.550889159885039,-4.69497068947678,2.66644954775094e-06,0.022845063202259,"DOWN","HSPA6","3310"
"ENSG00000236060",35556.3357229428,-1.40079000215077,0.305273303124506,-4.58864233397919,4.46138067539934e-06,0.022845063202259,"DOWN",NA,NA
"ENSG00000180182",189422.454915237,0.446229489149218,0.0974314148222578,4.57993440784233,4.65121774410586e-06,0.022845063202259,"UP","MED14","9282"
"ENSG00000042062",38916.737527772,-1.12912140867808,0.250342884459425,-4.51029958816777,6.47361355101199e-06,0.022845063202259,"DOWN","RIPOR3","140876"
"ENSG00000271780",16715.3459474799,0.695190193093046,0.154526577063782,4.49883901075542,6.83255726306875e-06,0.022845063202259,"UP",NA,NA
"ENSG00000258545",3467.79338678194,2.3308006796356,0.524380320119005,4.44486680794321,8.79463359641032e-06,0.022845063202259,"UP","RHOXF1-AS1","101928969"
"ENSG00000279092",4158.04459658785,-2.26041878097505,0.5087424064691,-4.4431499167985,8.86513492303972e-06,0.022845063202259,"DOWN",NA,NA
"ENSG00000126775",197261.166948369,0.408244008331613,0.091918814937533,4.44135412982697,8.93945369370964e-06,0.022845063202259,"UP","ATG14","22863"
"ENSG00000279133",4066.4429203115,0.879482132769603,0.198104278796734,4.43949084851418,9.01719486965027e-06,0.022845063202259,"UP",NA,NA
"ENSG00000072682",99328.3865985374,-0.695240190068862,0.158983479324429,-4.37303418583589,1.2253152767317e-05,0.0276829182534312,"DOWN","P4HA2","8974"
"ENSG00000187554",16453.2795381759,-0.98504505595785,0.226019731652023,-4.35822593345263,1.31120986398727e-05,0.0276829182534312,"DOWN","TLR5","7100"
"ENSG00000224023",17197.7722282495,0.495690784526802,0.114976590168471,4.31123225867532,1.62347268416255e-05,0.0312888335336442,"UP","EDRF1-DT","399821"
"ENSG00000111181",206021.809842834,-0.665932748597745,0.154965822695282,-4.29728786009289,1.72900599751734e-05,0.0312888335336442,"DOWN","SLC6A12","6539"
"ENSG00000132002",1491406.06943312,-1.31904384431959,0.312094971142954,-4.22641812999738,2.37440604201736e-05,0.0366223985203338,"DOWN","DNAJB1","3337"
"ENSG00000228265",4011.83913305544,0.883215087583779,0.209069575166547,4.22450319172553,2.39468458188296e-05,0.0366223985203338,"UP",NA,NA
"ENSG00000236548",2914.66545713181,0.931010992161117,0.220687876232489,4.21867756423702,2.45739401952112e-05,0.0366223985203338,"UP","RNF217-AS1","7955"
"ENSG00000276980",5383.20425170412,-1.53847147405547,0.368544002547337,-4.17445803871917,2.98696265080466e-05,0.0392375146981235,"DOWN",NA,NA
"ENSG00000247121",24102.0426556652,0.472684945291708,0.11333468186441,4.17069989094082,3.03665556665021e-05,0.0392375146981235,"UP",NA,NA
"ENSG00000254978",2786.58575812018,0.818550715636095,0.196475234918283,4.16617756419298,3.09749474625013e-05,0.0392375146981235,"UP",NA,NA
"ENSG00000151466",66341.7103220523,0.372026982760893,0.0895427306092254,4.15474243670835,3.25654166404608e-05,0.0392878490755274,"UP","SCLT1","132320"
"ENSG00000146963",628197.379959189,0.341935442078102,0.0836761634695348,4.08641395470522,4.38091852795219e-05,0.049432581339109,"UP","LUC7L2","51631"
"ENSG00000232995",7242.72136248127,0.652755660153966,0.159956888542534,4.08082243973127,4.48766280165584e-05,0.049432581339109,"UP","RGS5","8490"
"ENSG00000184923",21109.9367094258,0.772880183980238,0.191055495757529,4.04531772779313,5.22522075670746e-05,0.0550419219840944,"UP","NUTM2A","728118"
"ENSG00000255503",7276.23026293033,0.567705121387525,0.14068263110571,4.03536042029913,5.45185426346313e-05,0.0550419219840944,"UP",NA,NA
"ENSG00000089050",82798.3302797585,0.342124954111358,0.0850731339994254,4.02153932772323,5.78190519956598e-05,0.0550419219840944,"UP","RBBP9","10741"
"ENSG00000143552",2815.93252664732,-1.10279544687365,0.274630403553449,-4.01556212496706,5.93042739107594e-05,0.0550419219840944,"DOWN","NUP210L","91181"
"ENSG00000131373",73612.0464700503,0.471340077591463,0.117554043740025,4.0095607313505,6.08318064162085e-05,0.0550419219840944,"UP","HACL1","26061"
"ENSG00000181798",3215.17259485623,0.654839537709661,0.16383950795595,3.99683535356881,6.41949168571334e-05,0.0557377445431249,"UP","LINC00471","151477"
"ENSG00000260219",3520.32588769195,0.674386861825143,0.169008247047286,3.99026008261277,6.60008816378033e-05,0.0557377445431249,"UP","CD2BP2-DT","101928707"
"ENSG00000136859",78398.3230909853,1.06204407813118,0.26849196309144,3.95558982810029,7.63460540361062e-05,0.060562430949889,"UP","ANGPTL2","23452"
"ENSG00000272217",3889.43771465305,-1.17082416067045,0.296230310829279,-3.95241174811856,7.73674662609776e-05,0.060562430949889,"DOWN",NA,NA
"ENSG00000229017",3647.96646584812,0.797333672765182,0.202366942889024,3.94003912586866,8.14683209931554e-05,0.060562430949889,"UP",NA,NA
"ENSG00000269038",2965.21939592671,0.766316326826503,0.194555773503784,3.93880023720602,8.18900745513575e-05,0.060562430949889,"UP",NA,NA
"ENSG00000137731",8591.5817225433,-0.783421055767277,0.199158910891325,-3.93364802137709,8.36662752416071e-05,0.060562430949889,"DOWN","FXYD2","486"
"ENSG00000279026",32744.7465853238,-0.493247322582348,0.125966467121516,-3.91570339197118,9.01410144769832e-05,0.063436738938177,"DOWN",NA,NA
