"X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","symbol","entrez","FoldChange"
"ENSG00000283050",30395.2145827598,0.619432244967345,0.29191269122781,2.12197778165094,0.0338396038783162,0.264104443345893,"UP","GTF2IP12",101926918,1.53627048180394
"ENSG00000165272",6758.62284563526,-0.903751757209403,0.42593726789103,-2.12179545049957,0.033854918863813,0.264104443345893,"DOWN","AQP3",360,-1.87092504015576
"ENSG00000227632",7360.68792401402,-0.751916439803519,0.354384377841287,-2.12175391134275,0.0338584087923845,0.264104443345893,"DOWN","AC018804.1",NA,-1.68402836628655
"ENSG00000184961",3088.30439355882,0.710684433408855,0.335126279487046,2.12064668427869,0.0339515463488991,0.264571472054566,"UP","RPL7AP49",NA,1.63658034811003
"ENSG00000266907",2752.09007300128,0.649959928975709,0.30654190587383,2.12029714868161,0.033980993980881,0.264624452581813,"UP","AC006116.2",NA,1.56912461256774
"ENSG00000251279",7572.96366371751,0.611326550437245,0.288487770907508,2.1190726681903,0.0340843261512604,0.264975982546857,"UP","SMIM15-AS1",NA,1.52766324160844
"ENSG00000260657",2400.61246733645,0.75199218976434,0.354968161938204,2.11847785350184,0.0341346185679884,0.265003428346153,"UP","AC107871.2",NA,1.68411678998537
"ENSG00000248866",6188.89713894915,0.716393169350993,0.338263508845658,2.11785531284684,0.0341873231713509,0.265003428346153,"UP","USP46-DT",643783,1.64306911663587
"ENSG00000162267",15005.9551882971,0.963831831478558,0.455119509036126,2.11775547376514,0.034195782066041,0.265003428346153,"UP","ITIH3",3699,1.95048355064214
"ENSG00000264340",9241.54930158214,0.802310127603762,0.378982043234088,2.11701356812886,0.0342586962842439,0.265048816440872,"UP","AC009704.1",NA,1.74389131276628
"ENSG00000181577",6596.4049616925,0.979368070706011,0.462700245240141,2.11663616084258,0.0342907386787347,0.265136524826082,"UP","C6orf223",221416,1.97160161886411
"ENSG00000187922",12187.2031198363,-0.871886942821692,0.412006690478182,-2.11619607878155,0.0343281345869036,0.265196255520636,"DOWN","LCN10",414332,-1.83005491789894
"ENSG00000239407",3117.52464977543,0.93135152961054,0.440108841482313,2.11618454760802,0.0343291149150069,0.265196255520636,"UP","Z68871.1",NA,1.90706171197896
"ENSG00000267280",4969.77115074267,-0.585238644723487,0.276617365625268,-2.11569741256342,0.0343705507857918,0.265196255520636,"DOWN","TBX2-AS1",103689912,-1.50028714013461
"ENSG00000278139",28612.4257062499,0.765689070861659,0.36191643244554,2.1156515764917,0.0343744518162468,0.265196255520636,"UP","P3R3URF-PIK3R3",110117499,1.70018185803143
"ENSG00000156885",2200.23695339229,-0.681129630357701,0.32199089712602,-2.11536921210267,0.0343984917160374,0.265196255520636,"DOWN","COX6A2",1339,-1.60339472201924
"ENSG00000122641",10707.9976142355,0.799313492545125,0.377963641629546,2.11478937259409,0.0344479030507482,0.265405687663514,"UP","INHBA",3624,1.74027281948148
"ENSG00000128510",5176.95213101184,-0.63706001551618,0.301356943062012,-2.11397158812129,0.0345176940574325,0.265857552583731,"DOWN","CPA4",51200,-1.55515676429681
"ENSG00000224855",1719.62844946107,0.978824793550348,0.463124543859818,2.11352390307914,0.0345559513372644,0.265904541575295,"UP","OPA1-AS1",100873941,1.97085931058896
"ENSG00000275374",1629.82369647229,1.17838679971386,0.557601691951756,2.11331281221403,0.0345740028367927,0.265947866437366,"UP","AC113385.3",NA,2.26323563849606
"ENSG00000238597",828.891935723838,-0.805096727702352,0.381131085067068,-2.11238799260018,0.0346531840501636,NA,"DOWN","SNORD4B",26772,-1.74726293583042
"ENSG00000183960",224175.715045883,0.881306485048186,0.417903435238291,2.10887590465884,0.034955294538633,0.267844663772101,"UP","KCNH8",131096,1.84204267500581
"ENSG00000235910",1547.2834075794,0.892728203669531,0.42341683249037,2.10839091686284,0.0349971894753842,0.267996877465076,"UP","APOA1-AS",104326055,1.85668388196181
"ENSG00000202474",642.37979731731,0.958283266265707,0.4545642667531,2.10813593666439,0.0350192327424633,NA,"UP","RNA5SP283",NA,1.94299645168605
"ENSG00000197614",3345.98862645314,-0.798704448416107,0.378908481784278,-2.10790860277134,0.0350388959556912,0.268226851587664,"DOWN","MFAP5",8076,-1.73953830579549
"ENSG00000278104",600.382581773364,0.918353073881783,0.435764990003082,2.10745033435405,0.0350785624707653,NA,"UP","AL669914.3",NA,1.88995655856229
"ENSG00000266405",3909.11736262216,0.818377975791366,0.388409300516662,2.10699891764373,0.0351176733921354,0.268742350704418,"UP","CBX3P2",645158,1.76342225932946
"ENSG00000243250",915.414861478343,1.05893472200535,0.502665850112882,2.1066374844592,0.0351490149328199,NA,"UP","RPS6P16",NA,2.0833925880819
"ENSG00000151773",11037.7929957675,0.733082486564163,0.34802629377362,2.10639971657144,0.0351696459015758,0.268882704536206,"UP","CCDC122",160857,1.66218675654579
"ENSG00000166483",15092.4738308304,-0.699601726827401,0.332357243492425,-2.10496909733621,0.0352939981424142,0.269282108537474,"DOWN","WEE1",7465,-1.62405639068571
"ENSG00000280634",36664.110446367,0.663602654449145,0.315267144380522,2.10488998386774,0.0353008857761711,0.269282108537474,"UP","THRIL",102659353,1.58403328898303
"ENSG00000230735",680.796336995402,0.814196405707093,0.387016733044899,2.1037757186913,0.0353980158339492,NA,"UP","AC093423.2",NA,1.75831847960075
"ENSG00000213088",130747.933577625,-0.707661703778675,0.336391537403196,-2.10368462072956,0.0354059668821191,0.269952902130147,"DOWN","ACKR1",2532,-1.63315498032114
"ENSG00000246526",1807.71579470609,0.854320778458575,0.406354911128306,2.10240052491656,0.035518205256598,0.270421153678266,"UP","LINC02481",339988,1.80790739102942
"ENSG00000238287",1540.16164333666,0.839898001795333,0.399597068348743,2.10186227157783,0.035565342330357,0.270607344816533,"UP","AL603839.3",NA,1.78992359019987
"ENSG00000226438",921.44901719774,1.02982296554028,0.490187532437285,2.10087547600375,0.035651898720751,NA,"UP","AL442071.1",NA,2.04177368807965
"ENSG00000100342",65376.7771978585,-0.602582249741074,0.287072112580471,-2.09906230293324,0.035811408959528,0.271440924137007,"DOWN","APOL1",8542,-1.51843194533105
"ENSG00000276664",2881.47609080488,1.07450499847924,0.512064151202536,2.09837965800938,0.0358716207798372,0.271810969649951,"UP","AC004542.5",NA,2.10599936079049
"ENSG00000183784",644.235918618071,1.03765517290662,0.494633246487609,2.0978273908497,0.0359203959514566,NA,"UP","DOCK8-AS1",157983,2.05288835978051
"ENSG00000102359",4677.79735655161,-1.08742278103851,0.518374321908794,-2.09775587848242,0.0359267159196827,0.271824828228571,"DOWN","SRPX2",27286,-2.1249409946206
"ENSG00000184599",2256.59105036809,-0.711337296605618,0.339094562523557,-2.09775494868397,0.0359267980976803,0.271824828228571,"DOWN","TAFA3",284467,-1.63732111787769
"ENSG00000164749",3053.43194455633,0.678800780977475,0.323654492602205,2.09730066009549,0.0359669684767534,0.27192897174392,"UP","HNF4G",3174,1.60080855343188
"ENSG00000230162",1194.31336934558,-1.20815387602269,0.576762673774444,-2.09471578338505,0.0361962653264113,NA,"DOWN","CT45A11P",NA,-2.3104179822166
"ENSG00000136943",6617.14814566504,0.75873805991514,0.36246303677317,2.09328395708928,0.0363238138981086,0.273012106328688,"UP","CTSV",1515,1.69200995885311
"ENSG00000258680",2777.21251558105,0.924644104056918,0.441947744100153,2.09220233930502,0.0364204193345634,0.273012106328688,"UP","AL132994.1",NA,1.8982159165386
"ENSG00000245112",12102.4535343157,0.805380328865911,0.385280816652897,2.09037225331539,0.0365843733629595,0.273687873611927,"UP","SMARCA5-AS1",100128055,1.74760644190438
"ENSG00000238123",4101.28384168367,0.648916729836846,0.310579004694439,2.08937732437928,0.0366737707794405,0.273687873611927,"UP","MID1IP1-AS1",NA,1.56799040351872
"ENSG00000224764",1880.50860634456,0.872800799744459,0.417755694328585,2.08926128738286,0.0366842091672194,0.273687873611927,"UP","AL353768.1",NA,1.83121451026127
"ENSG00000174348",51401.8507213577,-0.632749580497074,0.303066167063642,-2.08782651863677,0.0368134865152236,0.273988334915705,"DOWN","PODN",127435,-1.55051725431377
"ENSG00000276968",4387.35849241442,-0.586254312583204,0.280830383115685,-2.08757437880824,0.0368362451786581,0.274072231433727,"DOWN","AL158196.1",NA,-1.50134372513153
"ENSG00000224153",5966.89769378212,-0.782607299650828,0.375091253259727,-2.08644507929627,0.0369383251807066,0.274489373135111,"DOWN","LINC02054",105374250,-1.72023695047065
"ENSG00000275924",991.848908685358,-0.683540451753055,0.327776220338952,-2.08538755815235,0.0370341352957217,NA,"DOWN","MIR6807",102465976,-1.60607632119264
"ENSG00000166592",26668.3180593375,-0.954520017482124,0.457891076793915,-2.08460060887303,0.0371055691829498,0.275012363742365,"DOWN","RRAD",6236,-1.93793477855478
