Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
LOC728744,TNC,CHI3L1,NKAIN4,HSPH1,MLLT11,PTGES3,CAP2
CYP7B1,ADAMTS18,NUDT5,COL9A2,STARD10,IFI44L,TCFL5,SEMA4F
CADM3,DYNLRB2,ZNF277,COL9A3,JTB,IMMT,STAG3,CEBPB
TRIP13,MAG,SUPT16H,KCNH8,PNPLA6,SDS,KIF1C,FBLN5
PDYN,PTGS2,CHN1,NUDT16,GADD45G,GLIPR1,HBS1L,CEBPD
BRUNOL5,ABCA8,RNF24,C4orf32,PAPOLA,DSTN,ZMYND11,SSSCA1
NR4A2,CCDC81,ZHX1,TRAM1L1,RALBP1,STON1,ZNF271,PROCR
ARHGAP26,ABI3BP,HRH3,ENPP6,STARD3,NUDT21,ZNF234,TM9SF1
C8orf16,SLC45A3,MRAP2,C5orf35,STIP1,STMN2,SDCCAG8,ARPC1A
CAMK2D,ALDH1A3,KLHL2,ADORA1,SF3B2,PRSS23,STARD10,SLC19A2
C12orf53,GPR17,CCDC104,CPB1,TLK2,KIF3A,CGA,IFI44
TAOK1,ADAMTS4,CHRM4,CPS1,ADAP1,CHGA,PNPLA6,TACC2
DZIP1,PDK4,MGAT4A,C9orf135,PAPD7,ZWINT,PAPOLA,SORBS1
PTCHD1,HBB,C21orf88,MUM1L1,C10orf10,CHGB,STIP1,IFITM2
NR1D2,PLIN,SLC2A13,CRHBP,TPPP,LSM6,SF3B2,CDC42EP3
NEUROD1,COL4A5,MAL2,S100A16,CHD4,STRAP,LILRB4,ST6GALNAC2
NOL9,ADAD2,LRRC37B,C20orf160,FOXN3,C14orf126,TLK2,TXNIP
CACNA1E,VCAN,FMNL2,FGFBP3,KPTN,FAM71E1,SLC35D2,PDPN
SERPINA1,CHST9,TMEM132B,PRIMA1,PLA2G16,CHRM5,CHD2,POSTN
NPPA,RPL27A,ESCO1,GCOM1,HHLA3,ACOT7,CNTRL,IGF2BP2
PRRG3,THBS1,SORCS1,CSRP2,CHI3L1,SLC2A13,SNRNP35,CAMKK2
TUBA8,MGP,KLHL29,CBLN2,NUDT5,CHRNB3,CHD4,SPINT2
CSRNP3,CLEC3B,OSBPL6,APCDD1,FAM107A,MAL2,ATE1,CELF2
UGCG,TMEM144,OSBPL8,CCDC27,WDR6,XKR4,PRDM4,GNB5
PLA1A,GLDN,C1QTNF4,CTGF,MAP4K5,CSMD3,HIBADH,PNMA2
SYT17,BTG2,DDIT4L,SHISA4,RASSF1,TUBGCP5,CLASRP,CETN2
TEAD2,CCDC33,PCMTD1,CHADL,CHKA,TMEM132B,CHGA,ADCY1
SPIN1,PLP1,RAB3C,10-Sep,RASSF8,CCDC85A,KPTN,MGEA5
PPP1R9B,SCGB1D2,LYSMD3,CTSO,HPS5,TMEM200A,CDC42EP1,CHL1
GFOD1,MAL,C6orf72,GLIPR2,RNF24,OSBPL10,IL1RAPL1,TRAF3IP2
NTNG2,ADAMTS1,CKS2,CTSZ,CHN2,C1QTNF4,PLA2G16,AHCYL1
C19orf59,ERBB3,SNAP47,IRX2,SAT2,CIRBP,BVES,PLK2
FAM163A,TMEM125,WDR17,NKAIN2,KLHL2,RAB3C,LDB3,ARPP21
PLAC2,SCGB3A1,SSX2IP,ATP6V0E2,LYPLA2,CTHRC1,LSM6,CYSLTR1
ZNF519,SEMA3B,SLC16A10,ARHGAP36,TMC6,LRRC3B,CHI3L1,GJB6
SLCO4A1,CD9,CLIC2,TMTC2,VSIG4,LYPD1,BAZ1A,CPLX2
ELK1,CLDN11,ANAPC16,KANK4,STK38,WDR17,MAP4K5,ME3
ANKRD30BL,CMTM5,SLC36A4,TMEM64,MGLL,DACH2,WBP4,FGL2
BSN,PHLDB1,FAT3,ZNF596,ADCY8,OLFM3,POLI,GPR83
MEF2C,CYB5R2,TDRD9,ADAMTS18,FMNL2,LRRK2,DUSP10,LYVE1
LRRC3B,TTC29,TRAPPC6B,CYB5R3,ESCO1,C12orf45,GALNT6,RUNDC3A
CCNT1,IL8,ZNF720,AGA,LENG8,BTBD11,POLG2,GADD45G
LOC389634,EMP1,SGK494,DNM2,FBXO32,C13orf26,CHN2,SUB1
GUCY1B3,GBP1,ZNF573,ECM2,SLC26A9,TRAPPC6B,PADI2,AP3M2
CMIP,ITM2A,C20orf94,APLNR,CCDC124,TTC8,C14orf126,MLLT11
TAF7L,CYBRD1,NUP35,LPAR1,OMA1,KRT222,WDR89,C10orf116
CCDC3,FKBP5,ALS2CR12,S1PR3,DDIT4L,EID2B,TMC6,IMMT
PTGES,TMEM63A,AHSA2,EDN1,GPR146,WDR63,CHRM5,SDS
C1orf115,ALDH1A1,SYNPR,CYS1,SLC5A11,CNTFR,CBX3,SLC27A3
CHSY3,FOLH1,OCIAD2,PLBD2,CCDC151,CNTN1,RNF13,SLC27A2
CALB2,ZFP36,WDR36,EIF4E,RNF166,FAM213B,CMTM1,CHAD
CD14,CD55,ANKRD43,C20orf201,CKMT2,OSCP1,CHRNA5,GLIPR1
KCNB1,SGK1,C5orf24,ELAVL4,LEAP2,UHMK1,HENMT1,RBPMS
OR52N2,HSD17B3,IRAK1BP1,TMEM61,ACAP3,ADH5,LINC00310,DSTN
SLC4A11,CERCAM,ADORA2A,PLD5,ARAP1,C1orf88,PALM2,STON1
MCTP1,ENPP2,COX7C,CREG2,AGAP1,NKAIN4,CHUK,NUDT21
AP3B2,C2orf82,CPE,EMX1,IP6K3,VSTM2L,KLHL32,C10orf10
DRD5,PLEKHG3,CREBL2,SLC10A4,GPR62,CMPK2,FMNL2,CHD3
ATP1A3,SFTPD,SLITRK4,ENG,C10orf90,BBS5,ESCO1,PRSS23
CISH,CAPN9,DOCK11,EPHX2,ZNF488,COL12A1,EPB41L4A-AS1,CIT
NTSR1,CCDC11,SLC32A1,ERBB3,CLIC2,ACVR1C,OMA1,TBC1D8
ITPKA,ST6GALNAC2,CRY1,ALAD,CLK1,MDH1B,DDIT4L,CHGB
LPHN2,ENPP6,MACROD2,F13A1,ANAPC16,DNAJC19,RAB42,PTP4A3
AKR1C2,PLEKHH1,NRSN1,FABP7,CLK2,ADK,SLC25A26,FSTL1
IL32,SLC26A2,STK35,FAH,CLK3,SYNPR,SLC5A11,CHI3L2
TH,CLOCK,MPP7,ZCCHC24,SERPINA3,OCIAD2,DIS3L,CELF3
SLAMF8,C1orf192,SESN3,FAM124A,CLN3,C4orf33,CCDC151,WIF1
FCN3,CLIC4,B3GALTL,FAM13C,SLC25A29,GNPDA2,PHACTR3,AKAP13
RBM48,CA14,SLC38A6,CPNE2,PAQR4,TRAM1L1,FAM36A,CHML
MAGEL2,ANGPTL2,ABHD12B,FAM162B,TMEM219,C5orf35,RBP7,CHN1
C4BPB,OPALIN,C15orf61,GPR116,METTL23,EMB,CKS2,CA5B
ENC1,IP6K3,CSNK2A2,FDPS,SGK494,GRPEL2,TM4SF18,PRRT2
NEFL,KHDRBS1,ZNF785,SLC29A4,SPNS2,UBLCP1,RAB39B,NXPH2
RNASE2,SLC31A2,LOC147727,FGF1,ZNF573,STXBP5,TOP1MT,PACSIN2
JPH1,CA1,ZNF420,FGFR3,IFFO2,PACRG,OLIG1,FILIP1L
CRYZ,TMEM146,ZNF565,FHL2,C20orf94,C6orf57,TSEN15,STX1B
FPR1,CTSO,ZNF542,RASA3,LYG1,SRSF12,LEAP2,C1orf85
FAM118A,ELOVL1,C1orf51,DOLK,MITD1,RALYL,ARAP2,KLF12
FAM129A,MPL,SLC35F3,VASH1,COL9A1,HGSNAT,ARAP1,KLF8
TMEM132B,ACTG1,CCDC117,RPH3A,RFTN2,C9orf85,AGAP1,CHRM1
MT1G,TCTEX1D1,LOC150622,BTBD3,PLEKHH2,C9orf135,RAB3IP,CHRM3
RANBP3L,NR4A1,ZNF385B,CD93,COL16A1,SLITRK4,FTSJ3,CHRM4
