Ctx_PD_up,Ctx_PD_dn,Str_PD_up,Str_PD_dn,SN_PD_up,SN_PD_dn,Ctx_DLB_up,Ctx_DLB_dn
RFPL3,CXorf41,FLRT2,FAM19A1,POGZ,DAAM1,USP54,CTNNA2
OR7A5,EML2,LAMP5,MAG,GLT25D2,DOPEY1,CYP27A1,SIK1
IL34,PDGFRA,TXLNG2P,MAL,PLXND1,PHLPP2,CYP51A1,FLJ32063
SLC17A7,PXK,FRG1,ARSD,FCHO1,MYT1L,AARS,CTSB
COL4A3BP,TMEM67,EPHX4,MBP,FLNA,TNIK,TMTC2,PKI55
MAST1,WDR69,ZBTB38,MCAM,GGA3,NMNAT2,PPTC7,ZNF385B
HS3ST2,GIMAP1,CADM2,MCC,STAB1,KIAA0564,SPRED1,CTSH
LPHN1,JAM3,SNX32,MCM7,ZCCHC14,PEG10,DBI,SLC38A11
LAIR2,IFI44L,FBXO33,MGP,LPIN1,RAP1GAP2,TRPV3,CTSK
PROM1,RPLP1P6,GABRA2,LHX8,08-Sep,TBC1D9,C18orf54,FAM82A1
NECAB2,ISLR,GABRA4,MOBP,KANK1,RFTN1,ZNF846,SLC16A14
KHDRBS2,ABCG2,GABRA5,MOG,FBXL7,SULF1,ZNF564,GPR155
PRKG2,SVEP1,GABRB1,ASL,PLEKHM2,ARHGEF9,CYP4Z2P,TTC14
DEFB125,PIP4K2A,GABRB2,PRAMEF11,FLT1,VPS13A,SASS6,CCDC80
ANGPT2,DDAH2,GABRB3,ASPA,JMJD6,PLCB1,DDB2,CTSO
TEF,WSB1,GABRD,MYO1B,PHLPP1,SCFD1,TTLL9,CTSS
CREG2,MRO,GABRG2,ASS1,PACS2,DDHD2,DDIT3,SPICE1
PIP5K1C,LRRC63,MAP7D2,MYC,COBL,PPIP5K2,UBXN2A,FGD5
SIN3B,DNAH2,GAD1,MYH11,FAM208A,LPHN2,RNF168,CXADR
AGFG1,USP6,GAD2,MYL5,FMO5,KIAA1107,SPATA5,CYBA
RIMBP2,C19orf10,SLC24A2,MYO1D,WSCD1,AGTPBP1,DHX15,MBOAT1
TMEM2,SRGN,NGEF,NEK3,KIF13B,ACSL6,GPR125,CYP1B1
DDR2,GPIHBP1,SULT4A1,NEUROD1,KIAA0930,DMXL2,TIGD2,RUNDC3B
FBXL4,HIST2H2AC,HECTD1,NEUROD2,SATB2,CUX2,MIER3,AMOTL1
MLXIPL,TM4SF1,METTL7A,NFIX,ZCCHC11,RPGRIP1L,ZNF366,GIMAP8
PDGFB,C1orf38,PARM1,NGFR,TRIM2,TBC1D30,DFFA,CRYGN
ASB3,APLNR,GALNT1,NINJ2,SYNM,OTP,GALNTL5,CYP2C8
THY1,ECM2,INTS7,NKX2-2,PHF15,SLC35A3,THAP5,CYP2E1
PGBD5,ZNF536,TMEM158,NMB,ARHGEF18,FOLH1,ZNF800,SGK223
CHST1,EPHX2,RTTN,NOTCH4,SRGAP2,HEY1,TMEM64,RDH10
SMTN,C6orf54,BOD1L,RBMXL1,SMG5,RIMBP2,QSOX2,FBXO16
RLTPR,ACTG2,PNISR,C18orf56,SPECC1L,FOS,FUT11,FAM91A1
TTYH3,LPGAT1,UPF2,CLDN11,PIP5K1C,NNT,DHCR7,CLVS1
PTMS,OLIG2,ATRNL1,OTX1,TARDBP,MMD,DHCR24,CYP4B1
SLC6A3,OR7D2,IPCEF1,OXTR,SLC44A1,RBFOX2,NQO1,LINGO2
CRHBP,HIST1H2BG,GLCE,GALNT9,NPTXR,SEZ6L,DLAT,TTC39B
SELL,LIPE,SIPA1L1,AMDHD2,CBX7,TTC33,DLG1,MGC24103
VASN,ERAF,UBXN7,CRYL1,SCRIB,FPR1,DNA2,CYP11A1
DBNDD1,GLIPR2,SLITRK5,PLLP,MORC3,NTSR2,DYNC1LI2,FREM1
RGS7BP,CFB,ANKRD17,ZDHHC9,SRRM2,KCNE1L,DNM2,LOC158696
DKFZp686O24166,PLA2G4C,APPL1,COQ4,HMHA1,LSM5,DNMT1,CYP21A2
FLJ25770,VIM,TANC2,CERCAM,ZNF281,SMPX,DOCK1,DAB1
EPB49,ELF1,EPC2,COPZ2,ADAT1,GSPT2,DUSP7,DAB2
TMCO4,ABCA9,RSL1D1,RASL12,CARHSP1,C9orf4,NR0B1,ALDH1L2
NAPG,SULF1,TIPRL,CDK18,ZMYND8,BCL2L13,LPAR1,DGKA
ORAI2,DUSP4,STEAP2,NRN1,LY96,MTCH2,EIF2C3,DGKG
TOLLIP,GUSBL1,TIAM2,WT1-AS,PLXNB2,LAMP5,EGF,DAP
LRFN2,C3orf45,PLDN,PDE1A,TMEM2,FJX1,MEGF9,DAPK1
HS6ST1,CRYBB2,SACS,AMOTL2,SH3BP4,FRG1,METTL7B,TMEM30B
HRH2,ZDHHC9,GBP3,PDE8A,KCNE4,LCLAT1,C12orf28,DBC1
ANKRD43,FXYD4,KAT2A,CXXC5,PISD,EBF3,MGC23270,DCC
S100A4,F13A1,CNNM1,PDGFA,MAFF,CERS6,MLKL,DCN
CBLN1,SGK2,CKAP2,TPPP3,ABL1,C4orf22,ZNF778,LPPR5
ALX1,PLD1,HS6ST3,TRAPPC2L,FTL,LRRC57,ZNF48,DCT
SYN2,ABCA2,GEM,CYB5R2,GAB1,GABRA1,EIF5,AKR1C1
GAP43,CYP27A1,GGTA1P,ACSL5,GABRD,GABRA2,ELAVL3,AKR1C2
SEMA5B,CORT,RANBP6,SERPINF1,ST6GALNAC3,GABRA4,CADM4,GADD45A
OR2T4,MYB,NBEA,GNG13,SNX33,NPNT,ELF2,LONRF2
KISS1R,TMEM25,GJA1,ACP2,SLC24A2,SYT14,ABCA2,AEBP1
INS,LRIG3,CHORDC1,PLAT,SUN2,GABRB1,FLJ23867,DDOST
LZTS1,LOC91431,AKAP8L,NUP54,RASGRP3,TMEM196,PLD5,FAM179A
PPARGC1B,FANK1,NPTN,PLIN1,CIZ1,GABRB3,CRTC2,FAM171B
PLEKHA5,PCSK6,TSPAN13,PLXNB3,BRI3,GABRG1,ANKRD23,DES
HOXB9,ZFYVE16,FOXP1,PNOC,ZNF324,GABRG2,FBXO45,LIX1
IQSEC2,LOC221442,AMPD2,PMP22,SVIP,CXorf23,SLC39A11,GIMAP7
RIMS3,CYP2C8,PDE7B,FXYD6,FAM19A5,GABRG3,AMZ2P1,BMPER
PRB1,P2RY12,DKK3,04-Sep,BACE2,MAP7D2,FBXO15,OLFML2A
CEBPE,FAM108B1,GLS2,KCNK10,TMEM184B,FRMD3,TMEM192,ZCCHC12
BRMS1L,CXCR7,TUBGCP4,FAM134B,METTL7A,GAD1,ENO3,ADAMTS15
TRNP1,NPNT,SESN1,ROBO4,DFNB31,C1orf192,ADAM32,KCNG3
ZC3H12B,HSD17B8,HPGDS,PPEF1,RPL36,NEGR1,LGI3,ANKRD24
DIAPH1,ARRDC3,ZNF638,SYTL2,RTTN,ANKS4B,NAIF1,SYNPO2
DACH2,VGF,GOLIM4,ELOVL2,ZNF521,QPCT,C9orf25,DIAPH1
CSGLCA-T,IFI27L2,GLG1,SEMA4C,SEC31B,ATXN10,TMEM31,DIAPH2
FAM19A1,C21orf91,GLRB,PPL,PNISR,FBXL2,AK2,DLG3
HPCA,HHIP,GLS,RHBDL2,C2CD2,ANAPC13,EPHX1,DLG4
PCDH19,SUCLG2,PCLO,ACSM5,SH2B1,PARM1,C2orf69,DMD
RPL21P44,SEPP1,GNAL,HERC6,LRP10,DCAF13,CLN8,DNM1
AGMAT,CDC42EP1,GNG3,CCDC109B,TMEM98,TMEM158,ERBB3,DNASE1L3
GPR85,ZBBX,GPD2,SRBD1,ZNF500,HSPA12A,EYA4,DYNC1I1
XAGE1D,HEY2,GPM6A,PRMT6,LDLRAP1,MYRIP,DHRSX,DPP6
NRIP2,LPAR1,SLCO4A1,ETNK2,PRPF31,TPGS2,ALAD,JAG1
MPP6,CHMP2B,GPR6,PPP2R3A,EPC2,GAP43,ETV4,DRP2
NOS1AP,PLAC9,LOC283174,TMEM206,IFT172,NECAP1,EVI2A,DSC1
ZER1,C1orf175,PGM2L1,THNSL2,GAS2,HIGD1A,EVI2B,DSC2
C1QB,SUV420H2,FLJ33996,FGGY,PHGDH,CLIP3,FABP6,DSC3
KCNN1,SSPN,DPY19L2,ENOSF1,FBXL6,CYP4X1,FANCC,DSCAM
GLI2,TMEM140,KSR2,MED29,FBXL4,SUSD5,ACSL1,DSG2
KCNB2,SH3TC2,GPR12,SLC48A1,GBP2,CHD5,BPTF,AGT
TTBK1,PI16,LINC00282,LIMS2,GCHFR,MAGI3,FANCB,TSC22D3
KIF5B,SLC16A9,LOC283588,ST6GALNAC1,NUPR1,LRRTM2,FAM123A,DSP
NPTXR,LOC732160,ZNF493,SELS,KAT2A,SLITRK5,ATAD3C,SLC26A2
PCDHAC1,SCG3,HNRNPU-AS1,PRKCQ,GREM1,ERC2,FASN,ECM2
P2RY13,PVALB,NKIRAS1,MYO5C,OR7A5,TCTN3,MTIF3,DUSP1
GRIK5,PHLDB2,FAM126B,KLHL4,GEM,TRAF3IP1,C7orf62,DUSP5
TMEM132D,RNASE4,RNF175,PRODH,HBP1,RGS22,ZCCHC24,DUSP6
GRIN2B,NUDCD2,XKR6,CRTAM,CHORDC1,PLDN,UNC5B,APLNR
ProSAPiP1,DDOST,EFHA2,PRRG1,AKAP8L,FBXO9,HYLS1,EBF1
KPNA6,CSN1S1,SCAI,KLK6,USP21,GBAS,SLC37A2,GPR183
CLGN,TIMP1,ATP11C,KCNK12,CNPPD1,GBE1,TBCEL,S1PR3
RNF24,C13orf31,TRAC,C8orf4,B3GAT1,GBP1,FAM124A,EDN1
MTHFR,LDB3,GRIA1,AGPAT4,ARRDC2,GCH1,CCDC11,EDNRA
GNL3L,SLC16A6,GRIA3,SEMA3G,KIAA1274,FXC1,LRRC63,EDNRB
STAB1,MRAP,ATAD2,CA10,CPAMD8,RGS17,08-Mar,EEF1A2
KIAA1804,A2M,ZBTB44,MEPE,SESN1,NAP1L5,C10orf25,SCAMP5
SNORA71B,SST,NDUFAF4,RGMA,ZNF638,GFRA1,ZNF485,EEF2
CD93,PLA1A,CCDC59,CTNNBIP1,KCNMB4,GGTA1P,CCDC7,EFNB2
QPCT,NXT2,TIMM21,SLC17A7,SGSM3,COPG2,FAM171A1,EFNB3
LOC654433,C4orf3,SSU72,PCBP4,BIN1,NBEA,SPATA13,EGR1
FGF17,PEG3,SCG3,CD177,GNG7,NPTN,CPNE2,C12orf53
CNIH3,CLDND2,ANKRD11,MAN1C1,GNG11,D4S234E,LOC221442,ANO6
ACTRT1,CCDC60,GSR,SLC44A2,PPP2R3B,PPA2,C6orf130,EIF2S3
MYH11,SLC25A13,GSTM3,CORO1B,SLCO4A1,GHITM,KIF6,ADCY4
CAMKK2,CTSL2,GTF2A1,PTGER2,SLCO3A1,TSPAN13,KDM1B,EIF4A2
CCL2,RAB13,GTF2E2,TTYH1,JAKMIP3,ATP5S,C7orf41,AIF1
SAPS1,C9orf164,GTF3A,PTH1R,ANG,INTU,FDFT1,SERPINB1
CALN1,PTMA,YPEL1,TMCC3,SLC46A3,GLA,KIAA1324L,ELAVL2
BEND4,LITAF,GUCY1A3,HHATL,ZDHHC22,TUBGCP4,FAM185A,CYP4Z1
CYB561D1,PFKFB2,GUCY1B3,PTK2,LOC283588,RNF115,FGF1,APOBEC3F
COL8A2,LRRC9,HILPDA,ERMN,CES4A,RND1,FGFR2,PCDP1
ABCG4,CD44,LRP12,PLEKHH1,C16orf79,AMPH,CASC3,ELK3
KIAA1853,FAM38B,H2AFZ,PLEKHG1,FAM100B,GCLM,CLCA4,CREG2
MYH6,AMFR,HIST1H2BD,HEG1,GPR17,RBMS3,ZNF652,EMD
TRIO,PECAM1,KCNIP2,KIAA1239,HEXDC,MCAT,VASH1,EMP1
NPY1R,UCP2,ANXA6,CASKIN2,METRNL,GLRB,ICK,EMP2
VSIG4,RTKN,HIVEP2,PCDH19,HNRNPU-AS1,PCLO,ENPP4,EMP3
MT1X,TTC18,HK2,CARNS1,ANGPT2,GMFB,ZHX2,TMEM154
KIAA0802,PELI1,HLA-DPA1,KIAA1407,CDH19,GNAL,ZBTB1,GAPT
UNC13C,DKK2,AOAH,ARHGAP23,FRYL,GNG3,EPN2,EPAS1
XKR4,SLC26A3,HLF,MYH7B,C7orf53,GNG4,FAN1,STOM
ELAVL4,FAM92B,HPCA,KIAA1598,C9orf142,GPD1,SIRT2,EPHA4
RIN1,PTGES3,HSD11B2,ANO8,TPRN,BLOC1S2,DIP2C,EPHA5
LIN28B,CDH1,DNAJA1,IGDCC4,TRBC2,MKX,CEP152,EPHA7
NDUFS1,M6PRBP1,HSPA1A,FAM5B,MKNK2,PGM2L1,TTC39A,EPHB1
CECR6,C19orf18,HSPA1B,BARD1,GPS2,PRLHR,LIMCH1,ERBB2
SNORA61,PMP22,HSPA1L,PVALB,C13orf15,SIAH3,WDFY3,ETS2
ISG15,SGK3,HSPA4,WFDC1,KLF15,FAM177A1,TMCC1,ALAS2
C1orf103,GDF6,HSP90AA1,ABCD3,SETD2,FAM98B,SAMD4A,ETV6
DLG2,MARCKSL1,HTR2C,TP53INP2,MRPL18,C17orf58,ZNF292,ALB
FAM117B,ABCA6,LOC338651,RHOU,STXBP6,GPR19,TBC1D9B,EXT1
GMIP,VAMP8,MSL1,SNX6,BRD7,RIIAD1,WAPAL,EXTL1
MT1M,WDSOF1,ZBTB8OS,RAB3IL1,ANKRD11,OR2L13,PPRC1,EYA1
C1QC,SPAG16,SLC35D3,ACTA2,RACGAP1,FAM102B,PEG10,F3
RNF207,RBM24,IDS,RBM3,GTF2A1,GPR26,KIF1B,ALDH1A1
RXFP1,ANTXR1,LRRTM1,LGR6,GTF3A,UNC80,CDK19,F13A1
TRAJ41,C4orf33,ZNF713,RBM4,GUSB,C3orf38,MCF2L2,FABP7
FAM151A,SNX22,APP,RBP1,SAC3D1,IGSF10,SPG20,PTK2B
ANKRD34C,USP36,ANKRD37,RNASE1,HOOK2,DPH3,NFASC,FBLN1
INPP5E,SPTLC3,FAS,HAPLN2,C18orf8,GPRIN3,FAM179B,ENKUR
ZNF827,ANKMY1,IL13RA2,RTKN,HILPDA,ANK1,ATP10B,FBN1
VSIG10L,LTC4S,ING2,S100A1,ANAPC4,GPX3,GLT25D2,DOK6
FAM100A,KANK4,INPP4A,S100A8,OSGIN1,BZW2,PLXND1,EFEMP1
SPAG11B,NKX2-2,INPP5A,S100A12,CERS2,SPCS1,DCUN1D4,FCER1G
PNMA6A,HIST2H2AA3,INSM1,S100A13,DONSON,MRPL42,FCHO1,SLC16A9
NDST3,DLG1,ITGB8,S100B,PILRB,MRPL13,FRMD4B,JMJD1C
RUNX1T1,CIRBP,STT3A,SCD,H1F0,GRIN2A,08-Sep,FCGR2B
GDPD5,NFKBIZ,ITPR1,NEUROD6,HIST1H1C,CCDC113,PHLDB1,FAM162B
RAPGEF4,LUZP2,JAK1,SELE,H2AFX,MED4,KANK1,RBM24
ZBTB1,KLRC3,KCNA1,LHPP,HIST1H2BD,MRPL15,ATG4B,PHACTR1
NELL2,GATM,KCNA4,PBLD,HDAC1,UBE2T,PLEKHM2,MGC39372
C1orf218,SFRS11,KCNB1,SMOC2,CFH,DNAJC15,JMJD6,JAZF1
LHX8,C14orf45,YJEFN3,RTP4,SOX8,SCG3,RRS1,MMD2
RIMS2,GPC2,KCND2,TMBIM1,CXXC1,TAGLN3,TBC1D12,DAGLB
HERC2P3,ITGB7,C5orf25,NOC3L,CDR2L,DDX25,PHLPP1,TMED4
FOSL1,METTL7A,LHFPL3,PIRT,HK2,CXCL2,COBL,SLC35F1
MSL3,CLCA4,KCNJ4,SH3GL3,ZBTB48,GRP,ATP11A,TMEM130
SLC7A11,LRRC43,KCNK1,PDIA2,HMOX1,PDIA3,KIAA1024,SEMA3D
NPTX1,TRPV6,KCNK2,DEPTOR,HNRNPA2B1,GSK3B,ANKRD12,ABCD2
GLS,GAL3ST1,KCNMA1,ELOVL1,HNRNPH3,GSS,KAZN,FGF7
CUX2,CD99,APITD1,SPATA20,APBA2,GSTM5,MCF2L,FGF12
TGM7,LGALS3BP,MALAT1,SLC13A3,HPN,GSTZ1,MGA,FGF14
IFIT1,CD164,KIF3C,RTN4R,HSD11B1,CYP2S1,FAM208A,GPC5
CDS1,EPM2A,KIT,MARCKSL1,HSD17B1,GUCY1B3,AGTPBP1,FHL1
CAMK2A,BST2,KPNA2,SLC5A4,DNAJB2,SNX10,WSCD1,FHL2
PDE2A,DNAJB4,KPNA3,GATSL3,DNAJA1,GYG1,KIF13B,NID2
ZDHHC11,PTPRD,ARG2,ZBTB8A,HSPA1A,PDZRN4,ICOSLG,FKBP1A
06-Mar,FAM175A,KRAS,SLC6A8,HSPA1B,LMCD1,NCAPD3,PHLDA1
FLRT3,PROX1,KCTD4,SLC6A11,HSPA1L,NXPH1,KIAA0930,COBLL1
RAD21,MAGT1,C6orf174,SLC20A1,HSPA2,ANXA1,TRIM2,SLITRK3
MPP4,TMEM35,SERP2,SLC20A2,HSPA6,HBB,KIAA1033,CNKSR2
EID2,PTRF,C14orf23,SLCO1A2,HSPB2,ANXA3,SASH1,FASTKD2
LINGO2,CTSH,YPEL2,SLC22A4,APLP1,HDC,DPY19L1,DZIP1
ORM2,TST,C1orf31,ZNF747,DNAJB1,KCNIP1,SMG5,PLEKHA6
SPRYD5,SLC16A5,BOLA3,TMEM108,GPIHBP1,ANXA6,SPECC1L,ANKRD6
KCNE4,MAN2A1,C2orf80,TRAK2,ICAM2,UBE2K,SIK3,ABLIM3
DLX1,NEUROG2,VGLL3,SMPD1,TMEM119,HLA-DRB1,FNTA,RPH3A
DNM1,CAPN3,C4orf52,SNCG,MSL1,HMGCS1,DICER1,DENND3
UNC5A,LY6G5B,LAMB1,SOX10,NAT8L,FOXA1,SIRT1,ARSG
SLC25A43,TNFAIP3,LAMP2,ZFP36L2,CA5BP1,FOXA2,ITGB3BP,WDR47
SATB2,NASP,TMEM200B,BST1,ZNF404,APBA1,TDRD7,MMRN1
RAB9B,PRR18,C11orf87,SYPL1,IFIT1,APC,RYBP,CD93
GABBR2,LIFR,LMO7,TAGLN,APOD,HPRT1,RHOQ,MAPRE3
SLC4A3,LRP2,RGS7BP,TF,IFRD1,APEH,SLC44A1,PLA2R1
KCNG1,CBR1,PTPLAD2,TGFB3,IGFBP5,HTR2A,PES1,SHANK2
SYNGR3,TAC1,TOMM5,TGFBR2,RILPL1,HTR2C,MACF1,FOXC1
HSD11B2,HBEGF,LPL,TGM2,ANKRD37,TNC,SUZ12,SORCS3
WNT3,07-Sep,LRP4,KLF10,IL10RA,IARS,MORC3,IGSF9B
TMEM159,NET1,LSAMP,TIMP4,FAM101B,ICAM1,ANP32C,DAAM1
DUSP19,TF,ARNTL,TSPAN8,INPP1,LUZP2,ZNF281,STK38L
MAP2,LILRA2,MIR29C,TM7SF2,INPPL1,FAM19A2,ADAT1,GOLGA8A
ZNF385D,GUCA1B,EPCAM,CLEC3B,INSR,CYP27C1,TSPAN15,PDZRN3
OXT,CAT,M6PR,TNFAIP6,IRF3,ACADM,PHLDA3,UNC13A
SPTBN2,TTYH2,MAP2,TNS1,IRF7,ID4,ZMYND8,PDZD2
HMGCR,C1orf158,MAP6,TST,ARAF,SLC35D3,CA14,MYT1L
RICS,GM2A,MAPT,GXYLT2,ITGB5,RSPO2,ZKSCAN5,TNIK
ICAM5,GBP2,MARK1,TYMS,ACADVL,KIAA2022,TMEFF2,NMNAT2
OR5AP2,REEP3,MBNL1,LOC730102,ITPKB,BEX5,SH3BP4,FOXS1
LARGE,SLPI,MEIS2,UCP2,JAK1,DCAF12L2,KCNE4,HECW1
CELSR3,ANLN,MLLT3,VCAM1,JUP,NANOS1,SHPK,FOXO3
CASP8AP2,EFCAB2,MME,VEGFC,GALNTL4,APOC1,EML2,ARHGAP26
PPM1E,NPL,MN1,VIP,TMEM205,KCNT2,FTSJ1,IQSEC2
C6orf208,C10orf63,MOCS2,VRK2,PTAR1,PLCXD3,FJX1,FSTL4
GRHL1,YWHAZ,EIF2AK4,VSNL1,KCNJ2,FBLL1,ZNF318,RAP1GAP2
ADCY9,CNTN2,MT1F,C11orf9,SLC27A1,FAM174A,RNASEH1,DDN
HTR2C,SLCO1C1,MT1G,VWF,KCNJ10,TUBB2B,LACE1,LRCH1
IL18R1,USP12,MT1M,WIPF1,KCNK1,IGF1,PELI3,NCDN
ABCC10,SNRPE,MT1X,XPC,MALAT1,AMIGO2,STH,FLNA
ATP6V1C1,PSME4,MT2A,ZIC1,KIFC3,IGFBP3,MTOR,STAB1
AES,CPXM2,MTIF2,ZIC2,KIT,CYR61,FSHB,EFR3A
TIPIN,RHOU,MYH10,CA1,KLKB1,GATS,CENPI,RTF1
ZYG11B,SLAIN1,MYO5A,CA4,C6orf174,ZACN,FTH1,FLNB
CPLX4,FLJ37396,MYO9A,ZNF185,TMEM189,IGSF1,FUT5,RFTN1
RFPL2,SLC35D2,NAP1L2,DDR1,FAM69A,IL1B,FUT8,RCOR1
HOXA2,ZC3H6,NBN,PTP4A1,C7orf59,IL8,KDSR,CYFIP1
LPL,PDCD4,NDUFA8,BTG2,LAMA5,IL13RA2,ANKRD18A,ARL6IP1
HGF,HIST1H1E,NDUFS1,SEMA3B,LAMB2,ACADSB,ZDHHC20,MLC1
XPNPEP3,FAM162A,ATM,PCYOX1L,LAMP1,IMPA1,ASPHD1,SULF1
NUPR1,PKI55,NDUFS5,METRN,LAMP2,INSIG1,RNF169,PLCL2
HYAL3,SOX8,NEFM,TRIM48,LGALS3,INSM1,LCORL,ARHGEF9
SLITRK5,TJP2,NEFH,PPDPF,LGALS3BP,ISL1,AKNAD1,VPS13A
CCDC149,MGC13057,NEFL,FA2H,LIPA,ITIH2,GAB1,SEL1L3
C21orf56,NCBP2,NELL2,IRX3,FAM102A,ITPR1,GABPA,PLCB1
AKR1C1,ZNF404,ATP1A3,SH3TC2,SHC4,KCNB1,GABPB1,PPIP5K2
RPS23,NKX6-2,NFIB,C22orf46,C16orf88,C9orf102,TCP11L2,LPHN2
ETV1,RPL23,ATP1B1,CHMP6,RGS7BP,KCNJ6,SYCE2,FMO2
TMCC2,ADA,NKTR,TMEM204,PTPLAD2,KCNN3,STEAP1B,TSPYL4
NXPH1,PIGT,NNAT,FLJ13197,ARL2,KCNS3,CCDC110,FMO4
B3GALT6,PDE8A,CNOT2,LINC00341,ZBTB34,KIF2A,GABRR2,FMOD
KIF3C,HEPH,NPY,RERGL,LRP2,KPNA2,RNF214,DMXL2
SIGLEC11,BCHE,NPHP1,SNX22,LRP4,KPNA5,SHPRH,CUX2
ANKRD19,GJB1,NPTX1,PRR5L,LRP5,C12orf68,SLC24A2,RPGRIP1L
CHRM1,LOC96610,NPY1R,PYROXD1,LSS,NHLRC3,SUN2,NEDD4L
MYO9A,MGMT,ATP2B1,PAQR6,LTBP3,TRNP1,RASGRP3,AFF2
RUNDC3A,SMOC1,NRGN,DENND2D,MIR29C,LYSMD1,GCA,FN1
S100A9,HERC5,NSF,AGPAT4-IT1,TM4SF1,C2orf80,SVIP,SUN1
ZNF324,PRTFDC1,NTRK3,MYO15B,M6PR,VGLL3,TMEM184B,PSD3
SETBP1,AMBP,OLR1,PAAF1,MAFG,BEND4,GALK2,OBSL1
LRRN2,NMB,OPCML,SRCIN1,MAG,L1CAM,ZNF345,KIAA0895
CCNF,LYPD1,P2RX7,PTP4A2,MAN2A1,RND3,BRMS1,AHCYL2
CADPS,CROP,P2RY1,COL18A1,MAP4,ANKRD34C,DFNB31,NCS1
HGFAC,CD248,P4HA1,ASXL3,MAPT,LCP1,SPEF1,ZFPM2
HPCAL1,METTL21CP1,PABPC3,COLEC12,MAT2A,FADS1,ZNF473,KCNH3
C11orf69,TMEM14B,CALY,STMN4,PIM3,METTL10,INTS7,SLC7A8
PSD3,ZNF649,PAM,COL21A1,CHST6,C11orf88,RTTN,ABCA5
PBX1,LOC440093,PBX3,LBH,MCM7,ACCN1,SGMS1,HEY1
MPP7,SDR39U1,ST8SIA3,TSC22D4,MAP3K3,ARL1,MYRIP,NPTXR
ZNF280B,PLXNB3,FAM135B,SPRY4,MICB,SERTM1,BOD1L,FOLR2
C16orf45,SGOL1,ATL1,CLTCL1,MIF,C17orf97,HEATR5A,RIMBP2
SLC39A12,COPS2,METTL9,EOMES,MAP3K11,LOC400657,KBTBD2,R3HDM1
BCL11B,BTAF1,HN1,FZD6,MLLT6,VWA5A,GANC,FOS
FAM43B,AASS,RAB9B,AIF1L,FOXO4,LPO,NGDN,RBFOX2
CUGBP2,CRYBA4,PCP4,SOX7,NR3C2,FLJ20444,ZZZ3,SEZ6L
RBM9,CDH19,PCSK2,FAM107B,MPST,CUEDC1,PLEKHG3,FOSL2
HYAL2,DEFB4P,CDK17,FAM167A,MT1F,LY6H,ZNF451,RASD2
C10orf10,ABCA1,ERGIC2,CRISPLD1,MT1G,EPCAM,DNM3,CDK20
SVOP,NTN5,FAM13B,RAB34,MT1M,FAM19A1,SENP6,ACOT9
GPRIN3,SMC3,AMZ2,RASSF4,MT1X,FNDC9,CCDC69,MKRN2
SPAG5,C5orf33,ZNF117,NCALD,MT2A,MAD2L1,ZBTB20,NTSR2
KCTD12,SSR3,HOOK1,SRPX,MT3,STS,PHF19,LY96
CIC,MNS1,CDC40,PCBD2,MTRR,MAP2,C10orf12,PLD3
DAZL,DNER,CHST15,CMAHP,MYO1D,C9orf103,INTS1,TMEM2
C22orf29,RP11-35N6.1,PDE2A,GARNL3,MYO1E,MCC,GAS2,GSPT2
FAM90A1,C22orf27,ATP6V1D,ZBED3,MYO9A,DNAJB9,SPAG8,GABARAPL1
LONRF2,ATM,EIF3L,RASAL1,MYO9B,MDH1,PHGDH,C9orf4
DEAF1,MCL1,NOL7,GPR123,NASP,MDH2,B3GAT3,BHMT2
CAMK1D,AGT,ACTL6B,HOPX,NCAM1,ME1,FBXO2,FLRT3
C19orf12,GSN,PRKAG2,MAK16,ATM,ME2,FBXL4,FLRT2
CAMKV,GCLC,PCYOX1,MAP1LC3A,NEO1,MEST,OR2K2,ALOX5AP
PPP3CB,AGA,LARS,TUBB6,NEUROD1,METTL1,CABYR,LAMP5
RBMXL3,STXBP3,C14orf129,NTNG2,NFATC3,MGP,SACS,FRZB
MYRIP,NPC1,PDE1B,B3GNT9,NFIB,ATXN3,GATM,ALPL
WFDC1,MOXD1,ATP6V1H,CROCCP2,NFIC,MLF1,NUPR1,FSHR
CNIH2,SLC25A10,HMP19,C1orf198,NFKBIA,ACHE,OR8G2,TMEM9
AFF3,SPATA17,ZFR,TMTC4,NGFR,MN1,FXC1,DARC
PKD1,MATN2,MPP6,RGS5,NKX2-2,MNDA,TIMM8B,CERS6
SARM1,RASGRP3,PDPK1,ARHGAP19,NME3,CD200,OR10H1,SNX32
OVCH2,OMD,PDYN,PKP4,NOP2,ASL,SRPK3,FAM26E
SMPX,TJAP1,RSF1,BCAS1,NPC1,MXRA7,GREM1,LRRC57
MFHAS1,TMC7,PEG3,FAM207A,NPTX2,UNC13C,MRPL46,GABRA1
C16orf67,C3orf25,PENK,SLC45A3,NUMA1,CITED1,OR7A5,RNF144B
PRKY,PCDHB3,CDK14,CNTNAP4,WRAP73,MSH2,OR7C1,GABRA2
ELOVL4,MDK,ATP6V1C1,LGR5,P2RX7,ASS1,AMFR,GABRA3
TRIM47,AHSA2,PIK3CB,ASMTL,P4HA1,TRIM37,PGBD2,GABRA4
MT1A,MBNL2,PIK3R1,DNAH17,COL5A3,MYC,PGBD3,NPNT
CACNA1C,LRRC23,PLOD2,CBFB,CYHR1,MYL5,GHRH,GABRB1
TMSB4Y,ZFYVE21,GPR88,HYAL2,CNTN3,MYO5A,HBP1,GABRB2
