EnsemblID,Symbol,baseMean,log2FoldChange,FoldChange,StandardError,WaldStatistic,p-value,BHFDR_p-value
ENSG00000187097.8,ENTPD5,401.6072391,-0.349812979,0.784685812,0.098022469,-3.568701971,0.000358754,0.016773669
ENSG00000137055.10,PLAA,666.8656744,-0.23060326,0.852278439,0.064654715,-3.566689011,0.00036152,0.016811054
ENSG00000137760.10,ALKBH8,241.818811,-0.323570509,0.79908977,0.090741535,-3.565847889,0.000362682,0.016811054
ENSG00000063322.8,MED29,2800.444566,-0.235211798,0.849560268,0.065965917,-3.565656436,0.000362947,0.016811054
ENSG00000105287.8,PRKD2,418.8578026,0.441221778,1.357753685,0.123752924,3.565344279,0.000363379,0.016811054
ENSG00000177283.4,FZD8,322.3128917,0.592194923,1.50753858,0.166144901,3.56432801,0.00036479,0.016832022
ENSG00000129167.5,TPH1,22.59974762,-0.643936348,0.639964442,0.18080814,-3.561434509,0.000368834,0.016904747
ENSG00000138380.12,CARF,420.6032096,-0.49865337,0.707767112,0.140022066,-3.561248498,0.000369096,0.016904747
ENSG00000213445.4,SIPA1,764.6033757,0.473748304,1.388712836,0.133032827,3.561138352,0.00036925,0.016904747
ENSG00000204922.4,C11orf83,376.4844546,0.325229354,1.252863598,0.091372373,3.559383907,0.000371726,0.016933536
ENSG00000168874.8,ATOH8,483.7857229,0.616327618,1.532968039,0.173158449,3.559327442,0.000371806,0.016933536
ENSG00000176697.14,BDNF,232.6309783,-0.669785488,0.628600146,0.188284873,-3.557298464,0.000374688,0.017011277
ENSG00000010072.11,SPRTN,189.2819072,-0.288168606,0.818940983,0.081031686,-3.556245947,0.000376192,0.017011277
ENSG00000104133.10,SPG11,1265.351674,-0.237718902,0.848085191,0.066848399,-3.556089685,0.000376416,0.017011277
ENSG00000085382.7,HACE1,1222.851461,-0.353298472,0.782792331,0.099403531,-3.554184341,0.000379153,0.017091067
ENSG00000205250.4,E2F4,1427.377041,0.273688415,1.208894558,0.077028925,3.553060297,0.000380777,0.017120365
ENSG00000152284.4,TCF7L1,253.6746472,0.485625993,1.400193285,0.136742269,3.551396329,0.000383193,0.017185029
ENSG00000115665.4,SLC5A7,6.962992691,-0.810288122,0.570267958,0.228264962,-3.549770037,0.000385568,0.017242835
ENSG00000106261.12,ZKSCAN1,3104.695441,-0.366139227,0.775855977,0.103161851,-3.549172714,0.000386444,0.017242835
ENSG00000163132.6,MSX1,338.5765873,0.603769113,1.519681629,0.170160554,3.548231934,0.000387827,0.017260736
ENSG00000124875.5,CXCL6,2.710101298,0.847485073,1.799361516,0.238892617,3.547556561,0.000388822,0.017261352
ENSG00000177685.12,EFCAB4A,114.9257521,0.458085696,1.37371783,0.129275186,3.543492837,0.000394864,0.017449475
ENSG00000234776.1,C11orf94,5.915564108,0.76662274,1.701282522,0.216360365,3.543267921,0.000395201,0.017449475
ENSG00000143556.4,S100A7,5.908437779,0.766574978,1.701226199,0.216457192,3.541462271,0.000397916,0.017449475
ENSG00000149922.6,TBX6,113.444966,0.629035346,1.546530565,0.177647314,3.540922364,0.000398731,0.017449475
ENSG00000163214.15,DHX57,664.6853694,-0.242674596,0.845176995,0.068549193,-3.540152464,0.000399896,0.017449475
ENSG00000170160.12,CCDC144A,129.1898197,-0.834469422,0.560789242,0.235773623,-3.539282347,0.000401216,0.017449475
ENSG00000164163.6,ABCE1,1270.9983,-0.279040986,0.824138671,0.078844433,-3.539133672,0.000401443,0.017449475
ENSG00000198393.3,ZNF26,328.6388176,-0.229371907,0.853006177,0.064832422,-3.537919782,0.000403293,0.017449475
ENSG00000135903.14,PAX3,5.07227946,-0.812220045,0.569504819,0.229581516,-3.537828563,0.000403432,0.017449475
ENSG00000106351.8,AGFG2,1165.456323,0.340154529,1.265892178,0.09615494,3.537566872,0.000403832,0.017449475
ENSG00000102924.7,CBLN1,492.0805176,-0.836213413,0.560111745,0.236387338,-3.53747125,0.000403978,0.017449475
ENSG00000173275.8,ZNF449,318.7109363,-0.411786561,0.75169194,0.116444856,-3.536322465,0.000405739,0.017482582
ENSG00000106603.13,COA1,959.0962956,-0.227798054,0.853937238,0.064434706,-3.535331646,0.000407264,0.017505367
ENSG00000077232.11,DNAJC10,1985.020896,-0.350255813,0.784444991,0.099092376,-3.534639346,0.000408332,0.017508482
ENSG00000171786.5,NHLH1,53.99916901,0.523577013,1.437515003,0.14816538,3.533733808,0.000409734,0.017525828
ENSG00000166592.7,RRAD,135.0400388,0.783256596,1.721011331,0.221852656,3.530526114,0.000414734,0.017696663
ENSG00000215274.5,GAGE10,8.076169385,0.789366284,1.728315119,0.223679447,3.529006775,0.000417122,0.017753342
