component, 1.000000, 2.000000, 3.000000, 4.000000, 5.000000, 6.000000, 7.000000, 8.000000, 9.000000, 10.000000
expl_var_X, 14.096205, 9.970099, 7.792243, 3.996586, 7.449547, 5.375934, 5.326490, 3.224779, 2.426925, 2.096255
expl_var_Y, 7.672432, 8.282382, 8.442253, 16.305262, 7.837278, 8.551434, 6.744737, 7.323030, 6.884755, 4.913511
expl_var_Y_p, 0.619300, 0.758900, 0.725500, 0.107500, 0.668900, 0.525600, 0.426900, 0.381200, 0.253100, 0.316800
, NS, NS, NS, NS, NS, NS, NS, NS, NS, NS
corr_X_rho, 0.276992, 0.287791, 0.290556, 0.403798, 0.279951, 0.292428, 0.259706, 0.270611, 0.262388, 0.221664
corr_X_p, 1.670401e-04, 8.949799e-05, 7.597359e-05, 1.898794e-08, 1.411376e-04, 6.792675e-05, 4.304800e-04, 2.386649e-04, 3.732149e-04, 2.785081e-03
