component, 1.000000, 2.000000, 3.000000, 4.000000, 5.000000, 6.000000, 7.000000, 8.000000, 9.000000, 10.000000
expl_var_X, 17.587788, 5.478109, 6.619922, 4.859617, 5.031345, 7.557116, 4.592065, 5.242875, 2.500343, 2.351308
expl_var_Y, 8.113121, 12.525280, 11.050912, 13.222175, 8.907335, 5.608200, 6.272637, 5.218723, 8.001735, 4.511339
expl_var_Y_p, 0.825900, 0.236700, 0.406200, 0.309600, 0.380800, 0.941800, 0.478100, 0.757000, 0.068100, 0.432300
, NS, NS, NS, NS, NS, NS, NS, NS, NS, NS
corr_X_rho, 0.284835, 0.353911, 0.332429, 0.363623, 0.298452, 0.236816, 0.250452, 0.228445, 0.282873, 0.212399
corr_X_p, 1.064354e-04, 1.094704e-06, 5.133093e-06, 5.238846e-07, 4.713681e-05, 1.370730e-03, 6.964590e-04, 2.039263e-03, 1.192865e-04, 4.202922e-03
