component, 1.000000, 2.000000, 3.000000, 4.000000, 5.000000, 6.000000, 7.000000, 8.000000, 9.000000, 10.000000
expl_var_X, 18.170545, 4.740007, 8.758317, 5.197844, 5.121629, 6.164871, 5.149143, 2.574632, 2.545124, 2.624419
expl_var_Y, 13.502887, 19.679928, 6.360952, 9.187535, 10.684145, 6.071947, 5.082611, 5.968625, 4.591576, 3.406179
expl_var_Y_p, 0.158100, 0.007000, 0.965700, 0.823700, 0.159400, 0.885500, 0.747100, 0.613000, 0.860600, 0.873500
, NS, **, NS, NS, NS, NS, NS, NS, NS, NS
corr_X_rho, 0.367463, 0.443621, 0.252209, 0.303109, 0.326866, 0.246413, 0.225446, 0.244308, 0.214280, 0.184558
corr_X_p, 3.888330e-07, 4.457629e-10, 6.365245e-04, 3.533604e-05, 7.518586e-06, 8.544776e-04, 2.343245e-03, 9.493415e-04, 3.871308e-03, 1.313074e-02
