, C1, C2
expl_var_X, 14.096205, 9.970099
expl_var_Y, 7.672432, 8.282382
corr_X_rho, 0.276992, 0.287791
corr_X_p, 1.670401e-04, 8.949799e-05
, , 
significance, pvalue, permutations
NS, 0.796900, 10000.000000
