"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"541","SLC12A6",14213,2.63643,0.00837834847786031,0.202326835558145,"FALSE"
"542","XKR9",5872,2.634107,0.00843588987754301,0.203404419788537,"FALSE"
"543","INPP5A",6694,2.633306,0.00845581267723471,0.203535333316099,"FALSE"
"544","ADCY3",13949,2.631398,0.00850343882212265,0.203769338680513,"FALSE"
"545","KCNN4",7369,2.630907,0.00851573355679756,0.203769338680513,"FALSE"
"546","SULT4A1",9448,2.629963,0.00853941616360361,0.203889468285549,"FALSE"
"547","TADA2A",14865,2.628044,0.0085877406960058,0.203889468285549,"FALSE"
"548","LOC728024",14304,2.626897,0.0086167412076843,0.203889468285549,"FALSE"
"549","ZNF546",7098,2.626446,0.00862816815599136,0.203889468285549,"FALSE"
"550","OSBPL10",6440,2.626423,0.00862875126785919,0.203889468285549,"FALSE"
"551","SPAG4",14739,2.626184,0.00863481264591553,0.203889468285549,"FALSE"
"552","PYROXD1",9324,2.626086,0.00863729916458947,0.203889468285549,"FALSE"
"553","PCAT19",7731,2.625029,0.00866415875158211,0.204217334646198,"FALSE"
"554","VIPR1",11186,2.623714,0.00869767861265993,0.20458034003855,"FALSE"
"555","GLRX3",5847,2.623406,0.00870554638461913,0.20458034003855,"FALSE"
"556","MIR600HG",4700,2.621654,0.008750421834418,0.205328452731612,"FALSE"
"557","COL12A1",6851,2.61944,0.00880742647449369,0.206329961851688,"FALSE"
"558","USP45",3564,2.61898,0.00881931180223474,0.206329961851688,"FALSE"
"559","STS",14613,2.616127,0.00889334723653221,0.206873304265134,"FALSE"
"560","KLC2",8559,2.615556,0.00890823120303339,0.206873304265134,"FALSE"
"561","PLS1",9699,2.613879,0.00895207342350179,0.207585266646592,"FALSE"
"562","VPS33A",9298,2.612307,0.00899334548141427,0.207929845234754,"FALSE"
"563","ATP1B1",9657,2.61117,0.00902330264433138,0.20799682520101,"FALSE"
"564","CAPRIN1",4426,2.611158,0.00902361928951699,0.20799682520101,"FALSE"
"565","GNAS",11571,2.609526,0.00906677557831402,0.20799682520101,"FALSE"
"566","GPATCH2",5711,2.606484,0.00914770976522501,0.20817634323931,"FALSE"
"567","EML5",1361,2.606419,0.00914944614300428,0.20817634323931,"FALSE"
"568","PPT1",2658,2.605599,0.00917137649681249,0.208374203379961,"FALSE"
"569","IQCE",7996,2.602915,0.00924348677725371,0.208807316080143,"FALSE"
"570","CXCL1",9997,2.600436,0.00931053840948173,0.209989668068122,"FALSE"
"571","LMBR1",6760,2.599057,0.00934802495375878,0.209989668068122,"FALSE"
"572","KLF9",61,2.597802,0.00938225767483065,0.209989668068122,"FALSE"
"573","CCDC184",10647,2.597774,0.00938302270646897,0.209989668068122,"FALSE"
"574","SHROOM2",4140,2.597371,0.00939403986365468,0.209989668068122,"FALSE"
"575","GLRX2",2836,2.597196,0.00939882758141628,0.209989668068122,"FALSE"
"576","ALKBH4",8465,2.59355,0.0094990725899847,0.211325064898338,"FALSE"
"577","ZNF454",11181,2.593468,0.00950133806267326,0.211325064898338,"FALSE"
"578","CD99L2",13007,2.593423,0.00950258151464103,0.211325064898338,"FALSE"
"579","NEFH",5665,2.592047,0.00954067364570967,0.211331872379011,"FALSE"
"580","PLCL2",8038,2.589548,0.00961020238774575,0.21219839396106,"FALSE"
"581","VAV3",1139,2.588989,0.00962581692744575,0.21219839396106,"FALSE"
"582","RWDD2B",161,2.588618,0.00963619254888268,0.21219839396106,"FALSE"
"583","DPY19L1",6371,2.587933,0.00965537589600101,0.212323873578961,"FALSE"
"584","ASPSCR1",2228,2.586896,0.00968448174682883,0.212666896936987,"FALSE"
"585","TOGARAM1",4035,2.585732,0.00971724529442215,0.212792805508591,"FALSE"
"586","FAM206A",12876,2.585138,0.00973400287923921,0.212841768268426,"FALSE"
"587","GIT2",14174,2.583655,0.00977595289779748,0.213040449758629,"FALSE"
"588","FGF12",6431,2.582941,0.0097962074071291,0.213040449758629,"FALSE"
"589","NT5DC1",7224,2.581103,0.00984851931053166,0.213588066865456,"FALSE"
"590","ANKRD20A8P",12016,2.57927,0.00990093665300529,0.21413495549666,"FALSE"
"591","SLC46A3",13039,2.577496,0.00995190333390353,0.214941999989453,"FALSE"
"592","ADAMTSL1",7738,2.576589,0.00997805145318258,0.215140413250171,"FALSE"
"593","SNAP91",14993,2.57623,0.00998841804292635,0.215140413250171,"FALSE"
