"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"13528","OGFOD3",10667,-1.310745,0.189943929883724,0.442669481510565,"FALSE"
"13529","STK17B",8406,-1.310925,0.189883103642156,0.442657605396172,"FALSE"
"13530","ASB10",1103,-1.311382,0.189728737041958,0.442428756624057,"FALSE"
"13531","GIMAP4",5737,-1.312287,0.189423316779469,0.441912894161022,"FALSE"
"13532","PIPOX",2994,-1.312329,0.189409151383,0.441912894161022,"FALSE"
"13533","PRR5L",924,-1.312473,0.189360590236562,0.441912894161022,"FALSE"
"13534","LEPROTL1",12402,-1.312497,0.189352497604384,0.441912894161022,"FALSE"
"13535","RPL10L",8589,-1.312806,0.189248327732835,0.441831986974123,"FALSE"
"13536","GPR108",13645,-1.312847,0.189234509015462,0.441831986974123,"FALSE"
"13537","ZRSR2",7673,-1.313207,0.189113205871883,0.441778549918813,"FALSE"
"13538","NOSTRIN",7262,-1.314165,0.188790683985147,0.441156028398061,"FALSE"
"13539","FNTA",3731,-1.315756,0.188255951713767,0.440298567993651,"FALSE"
"13540","SART1",7698,-1.315815,0.188236143427463,0.440298567993651,"FALSE"
"13541","LRP3",15275,-1.316739,0.187926126105042,0.439657779424055,"FALSE"
"13542","GPAT4",1956,-1.317262,0.187750818011366,0.439508865535082,"FALSE"
"13543","SRPX",13391,-1.317343,0.187723677842838,0.439508865535082,"FALSE"
"13544","NUP93",7528,-1.317849,0.187554201098665,0.439244518265429,"FALSE"
"13545","ATXN1L",101,-1.318012,0.187499630871306,0.439244518265429,"FALSE"
"13546","C1QC",10133,-1.318046,0.187488249602128,0.439244518265429,"FALSE"
"13547","SLC35F2",13227,-1.318257,0.187417630188043,0.439244518265429,"FALSE"
"13548","WDPCP",12557,-1.318322,0.187395879349414,0.439244518265429,"FALSE"
"13549","SNX29",12179,-1.319318,0.187062822618259,0.438825028307623,"FALSE"
"13550","SEC22B",9366,-1.319503,0.187001007841641,0.438797446865371,"FALSE"
"13551","HLA-DMA",6673,-1.320283,0.186740549268545,0.438316927285813,"FALSE"
"13552","ARHGAP1",3344,-1.320649,0.186618426510011,0.438095590487568,"FALSE"
"13553","TCEAL7",2030,-1.321077,0.186475691145746,0.438021745052927,"FALSE"
"13554","CEBPB",3234,-1.32136,0.186381356701524,0.437895235452452,"FALSE"
"13555","MT1L",3961,-1.32145,0.18635136374022,0.437895235452452,"FALSE"
"13556","PRR5",5829,-1.321854,0.186216772608906,0.437805447921042,"FALSE"
