"","geneIDs","geneIDX","zscores","pvals","adj.pvals","significant"
"11218","ZNF415",9145,-0.796114,0.425965777569266,0.631231168736762,"FALSE"
"11219","RRBP1",3311,-0.797505,0.425157800143114,0.630271119786586,"FALSE"
"11220","PENK",2659,-0.798322,0.42468365439715,0.629746104584962,"FALSE"
"11221","TP73-AS1",9534,-0.798471,0.424597215612858,0.629677230839639,"FALSE"
"11222","MPV17L2",11459,-0.798524,0.424566471410597,0.629677230839639,"FALSE"
"11223","REXO4",9474,-0.798823,0.424393052079712,0.629493038624122,"FALSE"
"11224","LOC439933",14861,-0.799387,0.424066046088149,0.629126533087525,"FALSE"
"11225","SAP18",5648,-0.799423,0.424045178369372,0.629126533087525,"FALSE"
"11226","TUBB8",14388,-0.79994,0.423745560987429,0.628828827308866,"FALSE"
"11227","CNN2",695,-0.800013,0.423703265225588,0.628825328586755,"FALSE"
"11228","ALOX12P2",140,-0.800187,0.423602460630467,0.628734987050029,"FALSE"
"11229","GDAP1L1",10278,-0.800202,0.423593771236224,0.628734987050029,"FALSE"
"11230","CLPTM1",681,-0.800207,0.423590874794653,0.628734987050029,"FALSE"
"11231","NAXD",9105,-0.800235,0.423574654936019,0.628734987050029,"FALSE"
"11232","QRSL1",8866,-0.800448,0.423451280052446,0.628734987050029,"FALSE"
"11233","RMDN1",7919,-0.800711,0.423298972947381,0.628640098948925,"FALSE"
"11234","BAZ2B",7744,-0.801104,0.423071440729564,0.628420739083678,"FALSE"
"11235","DGCR9",7039,-0.801133,0.423054653657808,0.628420739083678,"FALSE"
"11236","GRB10",1510,-0.802443,0.422296747906293,0.627803068245169,"FALSE"
"11237","HIST1H2BL",4358,-0.803125,0.421902489233826,0.627335413446652,"FALSE"
"11238","SETD7",10899,-0.803175,0.421873593132278,0.627335413446652,"FALSE"
"11239","AP4S1",6241,-0.803387,0.421751086552761,0.627335413446652,"FALSE"
"11240","CLCNKA",668,-0.803413,0.42173606359715,0.627335413446652,"FALSE"
"11241","MKKS",4302,-0.803633,0.421608958842373,0.627254375599845,"FALSE"
"11242","SPINK2",3589,-0.803765,0.421532706774986,0.627222541836262,"FALSE"
"11243","RAD51B",3109,-0.803845,0.421486497337911,0.627222541836262,"FALSE"
"11244","MRPL51",8007,-0.804971,0.420836414809135,0.626519416714242,"FALSE"
"11245","TTC21A",13463,-0.805294,0.420650043345626,0.626301175647932,"FALSE"
"11246","SENP8",12390,-0.805906,0.420297051398362,0.625960105606762,"FALSE"
"11247","RCAN3",6219,-0.806171,0.420144257576881,0.625903239241934,"FALSE"
"11248","AK8",13205,-0.806213,0.420120044193922,0.625903239241934,"FALSE"
"11249","HSD11B1L",14476,-0.806314,0.420061820129441,0.625903239241934,"FALSE"
"11250","PHF21B",12063,-0.806925,0.419709694472373,0.625670246115083,"FALSE"
"11251","RAB40B",6115,-0.806944,0.419698747357026,0.625670246115083,"FALSE"
"11252","PDK2",2648,-0.807367,0.419455073465016,0.625568803735254,"FALSE"
"11253","CEP85L",14547,-0.807828,0.419189603999587,0.625309361911274,"FALSE"
"11254","SGTB",8434,-0.807988,0.419097490197301,0.625231190369197,"FALSE"
"11255","CNTNAP5",12588,-0.808841,0.418606609468982,0.624676435038302,"FALSE"
"11256","REEP3",13660,-0.80916,0.418423119712276,0.624520999134494,"FALSE"
"11257","LSM14B",13022,-0.809668,0.41813101434631,0.624144180971052,"FALSE"
"11258","MRPL54",12262,-0.809895,0.41800052577781,0.624008559625639,"FALSE"
"11259","AKIRIN2",8743,-0.809935,0.417977534683252,0.624008559625639,"FALSE"
"11260","PDPK1",2653,-0.810285,0.417776394379325,0.623851415923983,"FALSE"
"11261","USB1",10466,-0.810435,0.417690208851206,0.62384104898143,"FALSE"
"11262","HIGD2A",13421,-0.81068,0.417549461685936,0.623726893489131,"FALSE"
"11263","STIP1",6112,-0.811279,0.417205466946251,0.623344188425074,"FALSE"
"11264","HIST1H2AK",4352,-0.811721,0.416951741591462,0.623211047214503,"FALSE"
"11265","HIST1H2AC",4353,-0.812182,0.41668720645907,0.622874780755535,"FALSE"
"11266","CASC2",13817,-0.812772,0.416348791869035,0.622533406148802,"FALSE"
"11267","RPL23",4959,-0.813099,0.416161299761166,0.622324975281561,"FALSE"
"11268","EIF5B",5179,-0.813402,0.415987613032998,0.62215176180843,"FALSE"
